# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,79.186940,11.164453
1,78.857841,10.962229
2,78.663737,10.958430
3,78.698441,11.302849
4,78.569496,11.149396
5,78.553709,11.060707
6,78.201037,11.498992
7,77.456125,11.607445
8,77.245619,11.500218
9,77.232513,10.521404
10,77.211649,10.523287
11,77.051669,10.516690
12,76.793001,10.861784
13,76.723091,10.846437
14,76.684123,10.800443
15,76.718184,10.321496
16,76.896184,10.311837
17,77.239269,10.343347
18,77.709415,9.074371
19,77.945967,8.889103
20,77.870080,9.499967
21,77.586359,9.521337
22,77.429190,9.591331
23,77.285164,9.819518
24,77.225210,9.964737
25,77.518998,9.815771
26,77.598329,9.346221
27,78.015783,8.867792
28,78.196512,9.242050
29,78.583246,9.661171
30,78.587646,10.102289
31,78.842980,9.881151
32,78.963544,9.794961
33,79.008691,9.750014
34,79.154694,10.205186
35,79.227452,10.421669
36,79.334353,10.039420
37,79.152541,10.030562
38,79.207459,9.350968
39,79.259191,8.850310
40,79.734908,8.847343
41,79.998434,8.168449
42,80.192013,8.036114
43,80.421764,8.018382
44,80.748340,7.918002
45,80.460643,7.390117
46,80.509269,7.074737
47,80.157177,6.900891
48,79.588834,6.549724
49,79.627945,6.525765
50,79.636546,6.980885
51,79.514953,6.875698
52,79.693301,7.127504
53,79.467987,7.136151
54,79.228464,7.125745
55,78.992227,7.311155
56,78.671440,7.370932
57,78.648598,7.252503
58,78.535848,6.947303
59,78.631605,6.156102
60,78.863408,6.516413
61,79.047164,6.922927
62,78.725422,7.456565
63,78.924756,7.489182
64,78.530427,7.611594
65,78.236030,7.636944
66,77.979504,7.647112
67,77.747696,7.772420
68,78.047795,7.889608
69,78.402306,8.439442
70,78.794699,8.059904
71,79.238844,8.030710
72,79.181490,7.857682
73,79.208413,7.592388
74,79.211991,7.095321
75,79.340524,6.708777
76,79.816840,6.832777
77,80.024519,7.184489
78,80.395231,7.201459
79,80.286695,7.376974
80,80.148663,7.918006
81,80.207879,7.778765
82,80.111545,7.169164
83,79.998211,6.913503
84,80.131028,6.248850
85,80.008852,5.969260
86,79.734109,6.022470
87,79.374999,6.351846
88,79.754286,5.810815
89,79.906587,5.385468
90,79.994368,4.693663
91,80.668559,4.764241
92,80.606634,4.954634
93,80.555594,4.942749
94,80.763227,4.973842
95,80.856608,5.424255
96,80.947709,4.791665
97,81.159986,4.802559
98,80.729547,4.524103
99,80.034102,4.756771
100,79.740989,5.338290
101,79.398780,4.985769
102,79.145792,5.146577
103,79.117423,5.143978
104,78.800030,4.983491
105,78.843790,5.011334
106,78.790265,5.546070
107,78.823906,5.743046
108,78.607325,5.971623
109,78.840204,6.046798
110,78.993585,5.547464
111,79.022333,5.563152
112,78.577874,5.554538
113,78.560004,5.566384
114,78.575982,5.786577
115,78.215410,5.513277
116,77.946246,5.906379
117,77.671138,6.230416
118,77.526940,7.433165
119,77.490797,8.060959
120,77.815344,7.407953
121,78.005977,7.475329
122,77.861810,7.228770
123,78.082548,7.197027
124,77.759099,7.012922
125,77.126807,6.809506
126,77.103747,6.806407
127,77.296892,6.647019
128,76.736576,7.583321
129,76.710419,7.272571
130,77.136401,7.185157
131,77.273871,7.595873
132,77.174944,7.593233
133,77.434733,7.260851
134,78.094806,7.430676
135,78.304421,7.342327
136,77.930068,7.978654
137,77.189726,8.493168
138,76.561218,8.286750
139,76.377592,8.533913
140,76.214360,8.748689
141,76.353380,8.068816
142,76.553305,8.280825
143,76.790107,8.089884
144,76.968009,7.771795
145,76.858219,7.647954
146,76.810256,7.657648
147,76.782155,7.431145
148,76.637802,7.479706
149,77.252457,7.495477
150,77.096706,7.373715
151,77.086830,7.314933
152,77.031976,7.181026
153,77.177977,7.234068
154,77.911201,6.974064
155,77.662561,7.427568
156,77.824486,7.639820
157,77.872114,6.697155
158,78.267146,5.889024
159,78.291077,6.135279
160,78.107823,6.859379
161,77.861528,7.713899
162,77.980978,8.015844
163,77.705888,9.085940
164,77.834675,9.045144
165,77.402826,9.052218
166,77.071492,8.716671
167,77.201599,8.678463
168,76.986681,8.974398
169,77.110156,9.681295
170,77.043697,9.822855
171,77.021358,9.315178
172,77.170839,9.165292
173,76.828695,9.402814
174,76.148002,9.468753
175,76.088946,9.690370
176,75.944523,9.249049
177,76.198258,9.354636
178,75.924090,10.102287
179,76.652260,9.947039
180,77.150396,9.790591
181,77.082843,9.669871
182,77.587064,9.628304
183,77.482444,9.786141
184,77.459748,9.554970
185,77.839489,9.838949
186,77.939675,9.858079
187,78.277356,10.407874
188,78.189085,10.254791
189,78.051405,10.397946
190,77.643409,10.293829
191,77.242358,10.304833
192,77.250679,10.363719
193,77.181250,10.561302
194,76.851699,10.619057
195,76.589566,10.003639
196,76.411425,9.728766
197,76.111326,9.519207
198,75.825938,9.448654
199,75.588022,9.787956
200,75.562108,9.380342
201,75.689172,9.365653
202,76.028280,8.995685
203,76.484370,9.220258
204,77.133880,9.100859
205,77.523973,8.681364
206,78.051486,7.970263
207,78.079032,7.983362
208,78.222303,7.783213
209,78.484985,8.020461
210,78.200634,8.021388
211,78.447914,7.982580
212,78.830099,7.739225
213,78.253879,7.930595
214,78.397884,8.370916
215,78.235321,8.918060
216,78.277041,8.945178
217,77.952287,8.914407
218,77.740887,9.426452
219,77.071496,9.687315
220,76.643100,9.343611
221,76.263620,9.172809
222,76.096699,8.677511
223,75.576061,8.860743
224,75.497488,8.869250
225,75.253403,9.340816
226,74.870969,9.552950
227,74.245536,9.700374
228,74.284436,9.503858
229,74.103604,9.943531
230,73.649169,9.744425
231,73.548534,9.407508
232,72.990005,9.076074
233,72.415575,8.710312
234,72.372664,8.701056
235,72.071591,8.646165
236,72.040445,8.849411
237,71.598410,9.234904
238,71.613781,9.555297
239,71.378703,9.767014
240,70.990488,9.706143
241,70.715366,9.149134
242,70.491531,9.364611
243,70.249352,9.464476
244,70.182514,9.570019
245,70.670516,9.650500
246,70.958076,9.895440
247,70.773064,9.815060
248,71.203685,9.910661
