# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,79.412483,10.819784
1,79.539305,10.800221
2,79.623806,11.186575
3,79.498683,11.613812
4,79.114252,10.902293
5,78.909287,10.459413
6,78.697492,9.871527
7,78.642149,9.706734
8,78.688127,10.592895
9,78.307606,10.817913
10,78.138895,10.443813
11,78.000386,10.301911
12,78.119036,10.220452
13,78.023924,10.934640
14,77.823672,10.457164
15,77.265800,10.152758
16,76.984211,10.175585
17,76.729721,10.171722
18,76.939171,10.281723
19,76.558787,10.226874
20,76.367189,10.016768
21,76.703995,10.113353
22,76.850193,10.459626
23,76.664086,10.670311
24,76.291958,11.065097
25,75.690097,10.909988
26,75.842349,10.789364
27,75.731121,10.832921
28,75.707988,11.740474
29,75.443237,11.714270
30,75.291501,12.283536
31,75.458791,12.098381
32,75.663309,12.032547
33,75.807206,12.318833
34,76.280041,12.392926
35,76.282760,12.425355
36,76.204548,12.658234
37,76.247535,12.612312
38,76.618276,12.171763
39,76.265584,12.543462
40,76.322104,12.898617
41,76.494083,13.262463
42,76.789703,13.384589
43,77.010558,12.960418
44,77.075912,12.602533
45,77.517411,12.213723
46,77.847432,12.575566
47,78.081397,12.875674
48,78.318592,13.236396
49,78.603618,13.228727
50,78.717928,13.683995
51,79.014901,14.300521
52,78.698657,14.197057
53,78.596602,14.414401
54,78.415329,13.824834
55,78.282039,14.098423
56,78.187013,13.317742
57,78.595765,11.938534
58,78.323930,11.129862
59,78.081423,10.978863
60,78.467624,10.808180
61,78.688548,11.937694
62,78.403153,11.631646
63,78.321951,11.428080
64,78.426078,11.691532
65,78.648353,11.460662
66,78.982309,11.480936
67,79.034273,11.955503
68,79.399892,12.687964
69,79.293255,13.154454
70,79.175068,13.725356
71,79.444653,13.903903
72,79.211581,13.854062
73,79.256150,13.792354
74,79.308993,13.961713
75,79.673749,14.200139
76,79.666099,14.431996
77,79.388648,13.964039
78,79.208202,14.206829
79,78.683708,13.678558
80,78.856251,13.528621
81,79.005988,13.868072
82,78.836039,13.161407
83,78.776488,12.846200
84,78.709148,12.818000
85,78.627211,12.849058
86,78.666843,12.657272
87,78.899029,12.958856
88,78.191742,13.332478
89,77.958822,13.334582
90,77.450420,13.423832
91,77.137408,12.549891
92,77.308902,12.225977
93,77.042403,12.228550
94,76.928869,12.803137
95,76.661502,12.548630
96,76.429402,12.568893
97,76.683273,12.821735
98,76.619247,12.417607
99,76.280758,12.229425
100,76.440655,12.547962
101,76.530816,12.564780
102,76.400736,12.167544
103,76.488033,12.525476
104,76.667955,12.034375
105,77.078321,12.248768
106,77.398307,12.310663
107,77.380555,12.070824
108,77.847990,12.096130
109,78.081428,11.816025
110,78.009723,11.722900
111,77.934888,11.750115
112,77.493048,11.646173
113,77.681971,11.951525
114,77.602569,12.388698
115,77.211276,12.569729
116,76.953144,11.741047
117,76.781696,11.682253
118,76.510257,11.675948
119,76.647869,11.971161
120,76.220078,12.624733
121,76.358710,12.509309
122,76.416371,11.937075
123,76.735780,12.015980
124,77.061490,11.970567
125,76.782902,11.762846
126,76.199976,11.374613
127,75.787712,11.090531
128,75.224301,10.943524
129,75.560673,11.361072
130,75.389158,11.013929
131,75.322386,11.386918
132,75.036857,11.786412
133,74.606033,11.813105
134,74.586699,11.596067
135,74.669516,12.051410
136,74.156944,11.479548
137,74.116207,11.184028
138,74.315371,11.682771
139,74.791982,11.522364
140,74.640299,11.144467
141,74.109342,11.550019
142,74.043437,11.028196
143,73.537644,10.331996
144,73.476656,10.765422
145,73.089506,11.265298
146,72.941711,11.432842
147,72.333675,11.076742
148,72.096018,10.780209
149,71.789824,10.927344
150,72.002545,10.712680
151,71.979001,10.984555
152,72.077074,10.698224
153,72.025564,11.189759
154,72.092273,11.167180
155,71.716989,11.156096
156,71.445654,10.540122
157,71.338202,10.071418
158,71.604968,10.463829
159,71.067578,10.425320
160,71.033332,10.746220
161,70.531259,10.898331
162,70.720397,10.185494
163,70.773853,9.789059
164,70.718633,9.131903
165,70.605968,9.005986
166,70.571605,8.590271
167,70.770781,7.894598
168,70.717973,7.754365
169,71.281747,7.922292
170,71.062757,7.374214
171,71.173520,7.637612
172,71.632990,7.381192
173,71.252760,7.306367
174,71.483650,7.394838
175,71.959428,6.985682
176,72.040548,7.385733
177,72.020870,6.731014
178,71.950261,6.730848
179,72.111917,7.248572
180,71.634578,7.533777
181,71.559791,7.698341
182,71.186385,8.104137
183,71.459651,8.453241
184,71.543847,8.780535
185,71.438574,8.892098
186,71.383951,9.117587
187,71.574162,9.184619
188,71.353646,9.118766
189,71.041364,9.142361
190,70.809107,8.651896
191,70.680059,9.356377
192,71.030320,9.808867
193,71.119997,10.014874
194,70.880118,9.768474
195,70.967461,10.035040
196,70.706695,9.520390
197,70.819511,9.726058
198,70.957289,9.739190
199,70.529022,9.893391
200,70.322429,10.084316
201,70.464421,9.551141
202,69.985957,9.454333
203,69.901256,9.778530
204,69.276195,10.245538
205,69.222063,9.792562
206,68.950761,9.747808
207,68.932638,9.877587
208,69.214944,9.888826
209,69.520747,9.297424
210,69.127144,9.376783
211,69.373249,9.762968
212,69.680119,10.796341
213,69.194820,10.430238
