# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,75.589243,11.319561
1,75.292802,11.283212
2,75.317519,11.730580
3,74.823303,12.622078
4,74.615891,12.526945
5,74.993304,12.768018
6,75.298740,12.586771
7,74.970364,12.346497
8,75.108180,12.249239
9,75.539931,12.635535
10,75.686978,12.387539
11,75.717118,12.104384
12,75.773728,11.751469
13,75.892129,12.420173
14,75.797976,12.308083
15,75.972521,12.545259
16,76.186937,12.148908
17,76.460635,12.446070
18,76.580794,12.224466
19,76.763999,12.635812
20,77.178131,12.430752
21,77.460331,11.674367
22,77.600372,11.948599
23,77.877446,11.364582
24,77.844325,11.389455
25,77.829099,11.317857
26,78.133892,11.466442
27,78.317516,10.814497
28,78.764719,10.223899
29,79.111517,10.315360
30,79.186940,11.164453
31,79.412483,10.819784
32,79.261493,10.212699
33,79.039225,10.829225
34,78.729576,10.524483
35,78.221978,10.477538
36,77.874983,10.210466
37,77.762892,10.001870
38,77.619493,9.809221
39,77.555053,10.178281
40,78.015182,10.352183
41,77.868138,9.868615
42,78.051619,9.292479
43,77.710292,9.833952
44,77.094237,9.440473
45,76.774072,9.886527
46,77.080681,10.060885
47,77.291819,10.115108
48,77.127095,10.472921
49,76.826716,10.397396
50,76.541574,10.573530
51,76.322540,10.474708
52,76.084006,10.656605
53,75.774442,10.457313
54,75.470326,10.654702
55,75.545295,10.779381
56,75.853736,11.050852
57,75.570329,10.838126
58,75.727202,10.906668
59,75.260589,11.050160
60,74.651917,10.935011
61,74.587649,11.028255
62,74.278817,11.611264
63,73.994876,11.877247
64,74.135204,11.681434
65,74.562044,11.692280
66,74.582507,11.641719
67,74.352485,11.388595
68,74.278520,11.493352
69,74.334102,11.560474
70,74.462090,11.079311
71,74.782209,11.489990
72,74.748669,12.109457
73,74.501094,11.671633
74,74.929137,11.149946
75,74.975498,11.180281
76,74.579735,10.934284
77,74.305854,10.942629
78,74.156970,10.312987
79,74.347032,10.272203
80,74.532711,10.529284
81,74.608340,10.285405
82,74.798527,9.475759
83,74.703144,9.275087
