# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,57.630327,8.851439
1,57.592289,8.599987
2,57.707707,8.978794
3,57.164545,8.953858
4,56.776235,8.986322
5,56.922788,8.907829
6,57.171900,9.504999
7,57.155123,9.230986
8,56.951393,8.951904
9,56.899163,8.772444
10,57.341568,8.909008
11,57.502616,8.569585
12,57.338294,8.408709
13,57.726864,8.225621
14,57.761334,8.440336
15,58.045057,8.498376
16,58.228475,7.948223
17,58.197498,8.477086
18,58.635776,8.715893
19,58.987171,8.542342
20,58.635591,8.922119
21,58.480803,8.344795
22,58.110007,8.542337
23,57.917941,8.696311
24,58.006504,8.321098
25,57.992626,7.614219
26,57.776544,7.690356
27,57.799559,7.858035
28,57.575819,8.462724
29,57.336903,8.805741
30,56.949730,8.652537
31,56.848549,8.580851
32,56.797461,8.480462
33,57.182496,8.037902
34,57.393230,7.877375
35,57.682152,7.632327
36,57.639064,7.131720
37,57.493537,6.853128
38,57.192890,7.387238
39,56.931295,7.096713
40,57.136706,7.194958
41,56.959122,6.590488
42,56.858601,7.361422
43,56.875482,7.689694
44,56.729905,7.269201
45,56.209872,7.238381
46,56.024443,7.399128
47,55.598372,7.600454
48,55.725382,7.010679
49,55.733643,6.638723
50,55.175387,5.940528
51,54.868092,6.597118
52,55.229609,7.004171
53,55.329974,7.242529
54,55.472988,6.984691
55,55.845371,6.248741
56,56.323089,5.596338
57,56.261822,5.701018
58,56.730603,5.050644
59,56.797314,5.305216
60,57.065694,5.717161
61,57.503511,5.619503
62,57.841488,5.691044
63,58.239251,5.375983
64,58.194012,4.770289
65,58.465974,4.408594
66,58.743127,4.585789
67,58.638839,5.094318
68,59.172457,5.247350
69,59.524367,6.398906
70,59.741915,6.403399
71,59.443737,6.515480
72,59.984197,6.495707
73,60.307125,6.404971
74,60.487645,6.634959
75,60.127641,7.154691
76,59.748029,7.155552
77,60.189602,7.220428
78,60.218531,7.329863
79,59.780909,7.619517
80,60.024136,6.962622
81,60.067486,6.965060
82,60.065443,6.814644
83,59.806069,6.468435
84,59.851973,6.637284
85,59.641604,6.547367
86,59.664477,6.577908
87,59.738294,6.660582
88,60.230441,6.532982
89,60.417036,5.976900
90,60.439788,5.877896
91,60.198250,5.716261
92,60.217939,6.038262
93,60.308035,6.359560
94,60.027831,6.204544
95,59.631516,6.108221
96,59.699434,5.757774
97,59.382869,5.058589
98,60.030732,5.191583
99,59.871100,5.375661
100,60.008730,5.755379
101,60.461951,5.348577
102,61.010951,5.112026
103,60.500269,5.505279
104,59.972060,5.427241
105,59.563982,6.049632
106,58.915878,5.980199
107,58.740229,6.620370
108,59.166005,7.267815
109,59.712915,7.306559
110,59.700396,7.397693
111,59.439681,7.255731
112,59.662476,6.484110
113,59.752951,6.232366
114,59.586745,6.092169
115,58.969524,6.219409
116,58.782496,6.491025
117,58.998870,6.413349
118,58.488282,6.516474
119,58.287319,6.356356
120,58.583989,6.075123
121,58.235156,6.105946
122,58.546456,6.193948
123,57.944975,6.156277
124,57.810429,5.498834
125,57.694231,5.105050
126,57.778527,5.157262
127,57.495103,5.058521
128,57.263466,5.280919
129,56.768923,5.762803
130,56.189590,5.487971
131,56.268346,5.417221
132,56.093614,5.373089
133,55.959249,5.684929
134,55.617307,5.368613
135,55.595028,5.302000
136,55.481967,4.876158
137,55.558187,5.158492
138,55.496400,5.501347
139,55.537675,5.716178
140,55.746946,5.627144
141,55.726552,5.500550
142,54.979925,5.469553
143,54.306587,5.285887
144,54.517210,5.151196
145,54.576915,4.769044
146,54.208844,4.671446
147,54.077953,4.972943
148,54.024452,4.370898
149,54.276330,4.272393
150,53.822696,3.945054
151,53.441810,3.450898
152,53.340423,3.039031
153,53.639257,2.906117
154,53.452329,3.262509
155,53.076899,3.330887
156,52.690627,3.623368
157,52.631243,3.920657
158,52.586480,3.980343
159,52.465078,3.820309
160,51.810309,3.906338
161,51.285834,3.784806
162,51.067436,3.964087
163,51.495549,3.491941
164,51.954207,3.202654
165,51.974795,2.894556
166,51.795412,2.421452
167,51.787332,2.473457
168,51.423861,2.953887
169,51.153610,3.603594
170,51.423694,3.795237
171,51.120180,3.474130
172,51.211878,3.551547
173,50.975674,3.368928
174,50.514017,3.122444
175,50.301544,3.111572
176,49.721055,3.323892
177,49.570179,2.903559
178,49.356132,2.531745
179,49.226674,2.127033
180,48.685230,2.342825
181,48.674504,2.702100
182,48.452892,2.668190
183,48.302567,2.320774
184,48.558100,2.697705
185,48.698583,2.113426
186,48.158204,2.252517
187,48.109987,2.333261
188,48.192155,2.377818
189,48.312914,2.205177
190,48.150867,2.392783
191,48.467791,2.125181
192,48.780183,2.694543
193,48.624802,2.499852
194,48.546435,2.005632
195,48.349299,2.067350
196,47.880848,1.784429
197,48.039016,1.328528
198,48.164855,1.307218
199,48.166482,1.496732
200,48.536346,1.403372
201,48.492595,1.125100
202,48.519843,1.026802
203,48.196375,1.195404
204,48.793445,1.650017
205,48.773412,1.688181
206,48.655064,2.143425
207,48.958411,2.102005
208,49.743359,2.531995
209,49.791907,2.994340
210,50.198040,2.949547
211,50.196711,2.866042
212,50.461386,2.693706
213,50.871510,2.519215
214,51.132129,2.316788
215,51.256106,2.227382
216,51.040067,2.159600
217,51.151551,2.196733
218,51.258501,1.574767
219,51.129520,1.839732
220,51.185862,1.552585
221,51.332109,1.477863
222,51.507813,1.624922
223,51.514421,1.592037
224,51.985975,1.271601
225,51.977282,1.449612
226,52.224752,1.569090
227,51.819725,1.960961
228,51.253302,2.151925
229,51.192734,2.358172
230,50.876321,2.113648
231,50.393212,2.424359
232,50.486528,2.462573
233,50.605854,2.317126
234,50.434382,1.686576
235,50.676591,1.765919
236,50.510007,1.793689
237,50.577823,1.773329
238,50.614097,2.563945
239,50.704866,2.846447
240,50.796452,2.652325
241,50.676888,2.968748
242,50.464956,2.868969
243,50.426163,2.975431
244,50.348483,3.166087
245,50.335028,2.674027
246,49.986540,2.522282
247,49.940014,2.591104
248,49.558281,2.502129
249,49.150592,2.683567
250,49.176866,2.434480
251,48.978085,2.936652
252,48.741783,3.363180
253,48.655926,3.156542
254,48.854326,2.918704
255,48.667360,2.769199
256,48.786536,2.639149
257,49.260238,2.265382
258,49.876541,2.065787
259,49.849966,2.176235
260,49.818958,2.128949
261,49.473229,1.930192
262,49.327301,1.996889
263,49.550516,2.316585
264,50.131326,2.592564
265,50.460236,2.496974
266,50.290147,2.437938
267,50.457345,1.657828
268,50.492923,1.130129
269,50.530380,1.092841
270,50.700176,0.943108
271,50.503628,0.764537
272,50.313904,0.976712
273,50.649461,1.492407
274,50.320962,1.963133
275,50.163806,2.195044
276,50.353737,2.101308
277,50.404309,1.616614
278,50.255905,0.874747
279,49.962232,1.186666
280,49.781748,1.879480
281,49.705394,1.627127
282,49.352801,2.096315
283,49.400148,2.178111
284,49.512368,2.066758
285,49.765569,2.629523
286,49.483972,3.024243
287,49.620864,3.173237
288,49.375443,3.181622
289,49.512928,3.068275
290,49.396247,3.240403
291,49.137947,2.767383
292,48.589913,2.654088
293,48.853523,3.019686
294,48.862717,3.302115
295,49.241945,3.132970
296,49.713039,2.994443
297,49.835510,3.055588
298,49.587865,3.089421
299,49.008508,3.433014
300,49.033976,3.075576
301,48.712034,3.819451
302,48.742563,3.688629
303,48.470615,4.255600
304,48.368178,4.003540
305,48.054766,3.865665
306,47.970370,4.028700
307,47.454532,4.074454
308,46.994076,3.548425
309,46.924373,3.427818
310,46.367045,3.731439
311,46.688461,3.859496
312,47.232446,3.488304
313,47.954647,3.656981
314,47.921612,3.707177
315,47.840871,4.034960
316,48.183583,3.924180
317,48.720734,3.943155
318,48.839801,3.626414
319,48.807130,3.202755
320,48.131191,3.260933
321,48.367068,2.873277
322,48.220855,3.612216
323,47.865677,3.655611
324,47.743816,3.637172
325,47.631903,3.529099
326,47.758005,3.711980
327,47.881149,3.806938
328,48.086419,4.110195
329,47.871892,4.367862
330,47.679122,4.602143
331,47.610519,4.425627
332,47.829914,4.421290
333,47.884363,4.577027
334,48.177234,4.449015
335,48.014423,4.367172
336,48.102725,4.474164
337,47.912428,4.350618
338,47.881795,4.664762
339,47.933260,4.619904
340,48.393836,4.581680
341,48.758642,4.945940
342,48.295515,4.805702
343,47.802233,4.813542
344,47.930826,4.843701
345,48.141825,4.656252
346,48.592941,4.559647
347,48.529802,5.071304
348,48.139971,4.971172
349,48.217366,4.810079
