# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,67.918703,1.958052
1,67.230039,2.291349
2,67.017097,2.755143
3,66.962489,2.723655
4,67.268586,3.236968
5,67.189280,3.097156
6,67.527748,3.616912
7,67.345446,3.717275
8,67.130744,3.419505
9,66.680650,3.095174
10,66.694630,2.719844
11,66.650135,3.257888
12,66.710785,2.912322
13,66.650135,2.854581
14,66.562776,2.604243
15,66.306230,2.586372
16,65.905117,2.766517
17,65.499667,3.222545
18,65.549909,3.108291
19,66.225096,2.857830
20,66.165976,3.305531
21,66.068499,2.979614
22,66.190932,3.038051
23,65.887566,3.719737
24,65.806018,4.218269
25,65.636595,4.466941
26,65.660877,3.642614
27,65.519451,3.841340
28,65.746018,3.481466
29,66.266233,3.136569
30,66.050339,3.209780
31,66.158121,2.871048
32,66.221692,2.624814
33,65.902523,2.596037
34,65.827636,2.047343
35,65.948809,1.750954
36,66.178597,1.851919
37,66.357891,1.487826
38,66.108283,1.250851
39,66.159967,0.824059
40,66.320026,0.980275
41,66.064542,1.427438
42,65.836647,1.294135
43,66.219031,1.250361
44,66.483173,1.205640
45,66.405785,0.819936
46,66.243074,0.773477
47,66.468062,0.675255
48,66.075370,0.798666
49,66.285562,0.360813
50,66.471574,0.431427
51,66.455123,0.246393
52,66.436986,0.192653
53,65.671042,0.453001
54,66.242727,0.571813
55,66.373498,1.036622
56,66.794299,1.366477
57,67.220305,1.492342
58,67.274680,1.071718
59,67.086704,0.825132
60,66.836018,1.508900
61,66.730730,1.866573
62,66.410923,2.226263
63,66.215304,2.459998
64,66.403994,2.085870
65,66.116148,2.105881
66,66.265884,2.035348
67,66.207456,1.841822
68,66.494365,2.457935
69,66.341088,2.929611
70,66.533022,2.893424
71,66.538557,3.381536
72,66.355192,3.737764
73,66.753153,3.460274
74,67.100234,3.076636
75,67.481538,3.185164
76,67.722385,2.923214
77,67.488932,2.985126
78,66.850221,2.992206
79,66.684685,2.690382
80,66.112098,3.158162
81,66.062740,3.517166
82,66.524605,3.385275
83,66.499246,3.090261
84,66.766754,3.214942
85,67.210616,3.746374
86,67.794024,3.295850
87,68.149628,3.155308
88,67.650072,3.066366
89,67.558834,3.459471
90,67.167595,3.537907
91,66.903155,3.412426
92,66.577822,3.833238
93,66.049103,4.115808
94,65.809643,3.935875
95,65.474459,3.759220
96,65.567617,3.054428
97,65.398605,2.930272
98,65.344715,2.988852
99,65.507353,3.063734
100,65.463340,3.261501
101,65.732102,3.461078
102,65.758037,3.537977
103,65.819913,2.775042
104,65.742506,3.139094
105,65.895333,3.471518
106,65.740972,3.366219
107,65.702539,3.311986
108,65.343331,3.731280
109,65.328210,3.793777
110,65.140333,3.326403
111,64.648428,2.708942
112,64.691291,2.615469
113,64.500352,2.521840
114,64.271764,2.932026
115,64.668829,3.270340
116,65.074051,3.355239
117,65.584058,3.195643
118,65.605996,2.772933
119,65.713441,2.552516
120,65.762743,3.034017
121,65.803566,3.012061
122,65.851666,3.087907
123,66.219587,3.126154
124,66.539703,3.134791
125,67.199460,3.238680
126,67.806707,3.161717
127,67.504587,2.558721
128,67.787580,2.239544
129,68.068789,2.107448
130,68.085043,1.990035
131,67.737506,1.887009
132,67.830810,1.305851
133,67.667249,2.010179
134,67.213168,2.191068
135,67.109618,2.265667
136,67.235842,2.361177
137,67.404030,2.270290
