# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,57.962458,9.145040
1,57.907464,8.732182
2,57.758720,8.959793
3,57.674156,8.714625
4,58.089766,8.953718
5,58.344364,9.016005
6,57.853426,8.766431
7,57.876318,8.714207
8,58.025789,8.773529
9,58.157732,8.236702
10,57.979922,7.844286
11,58.328385,7.311644
12,58.696576,7.168572
13,58.333695,7.396874
14,58.325739,7.753704
15,57.671396,8.041983
16,57.614872,8.107991
17,57.856174,7.944031
18,57.944713,7.712859
19,57.857394,7.883905
20,57.749492,8.407643
21,58.022935,8.739869
22,57.984149,8.430441
23,58.270127,8.655359
24,58.555462,8.445699
25,58.931787,8.534871
26,59.628831,8.872573
27,60.118506,8.290790
28,60.461269,8.370507
29,60.550544,8.702396
30,61.123591,8.406412
31,60.928369,8.033723
32,60.768242,8.006331
33,60.855351,8.453568
34,60.763738,8.486842
35,61.069921,7.715713
36,60.804228,7.773106
37,60.250252,7.859900
38,60.222660,7.978072
39,60.510167,8.101053
40,60.504311,8.513213
41,60.240096,8.881761
42,60.143938,8.620738
43,59.792450,8.645701
44,59.248068,8.393114
45,59.311818,8.342503
46,59.680830,7.838955
47,59.545319,7.740322
48,59.749541,7.625799
49,59.886300,7.740403
50,59.820424,8.240288
51,59.684723,8.018915
52,59.429493,8.038636
53,59.254494,8.152663
54,59.320877,7.911685
55,59.476865,7.792260
56,59.651195,7.960702
57,59.496136,7.645976
58,59.809402,7.172769
59,60.234167,7.156265
60,60.439908,6.946131
61,60.584858,6.528691
62,60.821887,6.800832
63,60.737958,7.726067
64,60.456451,7.629672
65,59.929956,8.021299
66,60.152117,8.225828
67,60.534731,8.619552
68,60.756555,8.298909
69,60.698782,7.797310
70,60.922931,7.927959
71,60.866581,7.478046
72,61.235550,7.407446
73,61.218802,7.318213
74,61.120018,7.413795
75,61.459684,6.891664
76,61.544050,6.785902
77,61.376771,6.486914
78,61.539797,6.026340
79,61.909826,5.631498
80,61.714416,6.039537
81,61.781605,6.293849
82,61.645392,6.304409
83,61.852930,6.712502
84,61.857980,6.985795
85,62.218947,7.729444
86,61.816444,7.804278
87,61.723406,7.435143
88,61.371391,7.738847
89,61.280473,7.916329
90,60.699731,8.377741
91,60.239081,8.646342
92,60.086471,9.026234
93,60.009765,9.283251
94,59.961907,9.722279
95,59.905431,9.605721
96,59.785038,9.346068
97,59.734603,9.486430
98,60.043962,9.021835
99,59.705260,8.865947
100,59.294722,8.802763
101,58.850504,9.000454
102,58.482966,8.733768
103,58.264457,8.611338
104,58.072689,8.598552
105,58.174544,8.901092
106,58.052361,8.767521
107,57.725657,8.861913
108,57.690966,8.744134
109,57.855842,8.299931
110,57.730714,8.072143
111,57.436731,7.961376
112,57.738634,7.957898
113,57.647761,7.923911
114,57.384312,7.837448
115,57.751698,7.640217
116,58.219357,7.381780
117,58.257828,7.011522
118,58.490557,6.860634
119,59.043992,6.864762
120,58.992144,6.961641
121,59.074941,6.750764
122,58.840978,7.132262
123,58.517531,6.847800
124,58.627210,6.574864
125,58.838816,6.360661
126,58.877217,6.770165
127,58.803828,6.942519
128,58.887591,6.848703
129,59.264085,7.025457
130,59.153921,6.976408
131,59.132051,7.221388
132,59.030479,7.220785
133,59.056133,7.160694
134,59.620149,7.348919
135,59.581295,7.287525
136,60.008204,7.274280
137,59.834014,7.911068
138,59.417237,8.606759
139,59.740240,8.786850
140,59.697838,8.301703
141,59.568134,7.849893
142,59.206726,8.256867
143,59.193250,7.965596
144,59.591982,8.113428
145,59.252520,8.473265
146,59.099737,8.577846
147,59.688207,8.528755
148,59.397385,8.109063
149,59.190833,8.240673
150,59.076813,7.985784
151,59.269634,7.894775
152,59.277350,7.521899
153,59.187953,8.106954
154,58.851367,9.177466
155,58.347867,9.060968
156,58.472909,9.009204
157,58.855251,9.108340
158,59.092552,9.516149
159,58.901755,9.577783
160,58.809741,9.591615
161,58.839521,9.673599
162,58.224175,9.657239
163,58.136632,9.742879
164,58.155939,9.763370
165,58.478602,9.307889
166,58.177530,8.682017
167,58.199962,8.404293
168,58.344644,8.645681
169,58.361195,8.113490
170,58.501955,8.088923
171,58.557878,7.888906
172,58.687293,8.100986
173,58.890158,7.604748
174,58.833323,7.350532
175,58.949306,7.477795
176,58.409807,8.043962
177,58.580760,8.143488
178,58.575714,8.127572
179,58.448372,7.578024
180,58.124686,7.960592
181,57.762965,7.955142
182,57.798785,8.237930
183,58.179678,8.193046
184,58.769777,7.971455
185,58.918742,7.984326
186,59.009295,7.513345
187,59.023360,7.819420
188,59.119895,7.639862
189,59.140992,7.903937
190,58.860325,8.045182
191,58.412047,8.040645
192,58.014824,8.373244
193,57.900503,8.292138
194,57.475855,7.884364
195,57.322334,7.805765
196,57.389035,7.887652
197,57.647533,7.609941
198,57.278739,7.581127
199,57.082761,7.286963
200,57.398543,6.868876
201,57.481964,7.102361
202,57.390026,7.050384
203,57.640361,7.473079
204,57.658933,7.176028
205,57.760289,6.347357
206,57.875785,6.380089
207,57.941807,6.865755
208,58.019517,6.837936
209,58.432410,6.723912
210,58.371730,6.614011
211,58.646863,6.496751
212,58.229695,6.547294
213,58.191094,6.730570
214,57.918105,7.030030
215,57.783444,7.392730
216,58.087096,7.074093
217,58.032837,6.697044
218,57.731955,6.618034
219,57.597501,6.660296
220,57.671096,6.673111
221,57.693698,6.927780
222,57.711983,6.932010
223,57.940184,6.935228
224,57.790896,6.459378
225,57.825606,6.642551
226,57.863964,7.026970
227,57.988616,7.351789
228,57.617896,7.584822
229,57.253001,7.547093
230,57.172772,7.554344
231,57.446781,7.709371
232,57.585296,7.651502
233,57.782369,7.687764
234,57.744147,7.909182
235,57.521806,7.235268
236,57.768723,6.975012
237,57.580184,6.693327
238,57.218416,6.863020
239,57.194616,6.627241
240,56.752191,6.019056
241,56.574261,5.611720
242,56.570803,5.627760
243,56.882252,5.323493
244,56.832620,5.521323
245,57.302128,5.505824
246,57.031395,5.610340
247,57.280421,5.769773
248,57.473896,5.802725
249,57.307665,5.923511
250,57.259813,6.052870
251,57.282777,6.018919
252,57.402134,6.082771
253,57.261787,6.105474
254,57.234585,5.428484
255,57.692709,5.397094
256,57.674863,5.479791
257,57.584985,5.771088
258,57.491137,6.051622
259,57.217510,6.002859
260,56.587057,6.355871
261,56.114202,6.103375
262,56.475472,5.775843
263,56.292187,6.056835
264,56.390697,5.775853
265,56.335345,5.812017
266,56.673756,6.075279
267,56.657437,5.924149
268,56.474672,6.179629
269,56.359048,6.560590
270,56.062760,6.266700
