# this data file was made with 
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,-2.548150,3.697554
1,-2.548150,3.697554
2,-2.028187,4.023060
3,-2.049904,3.926018
4,-1.830675,3.707392
5,-1.891598,3.728894
6,-1.494945,3.905163
7,-1.285736,3.846869
8,-1.125223,3.201115
9,-1.692948,3.446408
10,-1.339519,3.893276
11,-1.158333,4.337301
12,-1.377643,3.943753
13,-1.426795,4.725898
14,-1.716355,4.887636
15,-1.655557,4.761758
16,-1.160583,4.603282
17,-0.807798,4.279266
18,-0.468531,4.089746
19,-0.171862,4.042165
20,-0.079719,2.778649
21,-0.201565,3.491186
22,0.385740,3.454127
23,0.413100,4.376523
24,0.757264,5.359473
25,0.887756,4.381665
26,1.064813,4.475699
27,0.759132,3.988592
28,0.879915,3.119107
29,0.881082,3.514616
30,0.979121,2.628966
31,1.370175,3.608089
32,1.123218,4.366361
33,1.041721,4.702112
34,0.724894,4.219508
35,-0.145555,3.970868
36,-0.424016,3.190014
37,-0.785014,3.379623
38,-0.336232,2.902938
39,0.276858,3.346150
40,0.136989,3.866660
41,-0.047399,4.024221
42,0.440133,5.520326
43,0.496151,5.831956
44,0.608935,6.153040
45,0.760834,5.164659
46,1.016011,3.392793
47,1.339877,2.655463
48,1.044168,2.920257
49,1.110545,3.360186
50,1.908481,2.830249
51,1.830750,3.110284
52,2.104964,1.646260
53,1.868500,1.855667
54,2.028998,1.970998
55,2.114974,2.744679
56,1.934113,3.160158
57,1.828043,3.207112
58,1.603782,3.415630
59,1.626506,3.125781
60,1.495368,3.495123
61,1.367261,3.538113
62,1.433529,3.252768
63,1.542387,3.511747
64,1.696744,3.839381
65,1.854335,3.538139
66,1.853285,3.387840
67,1.773113,3.088567
