# this data file was made with 
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,81.278965,5.157502
1,81.278965,5.157502
2,81.315984,5.653867
3,81.713400,5.263900
4,81.601694,5.042851
5,81.903290,5.782187
6,81.484561,6.132832
7,81.721257,6.015770
8,81.865325,5.571459
9,81.786521,5.402508
10,81.852989,5.484082
11,81.805533,5.272763
12,81.982744,5.397881
13,82.043787,5.193853
14,82.549470,5.846385
15,82.866634,5.972475
16,83.282530,5.348429
17,83.660130,4.754804
18,83.568170,3.938846
19,83.749701,3.848565
20,83.399882,4.652184
21,83.396325,4.376993
22,83.169240,4.912664
23,82.850164,5.164051
24,82.946750,5.194439
25,82.883585,5.242948
26,83.450592,5.793108
27,83.852919,5.724224
28,84.513175,5.679244
29,84.643543,6.045254
30,84.460618,5.761025
31,84.445860,5.301646
32,84.803512,5.490791
33,85.172460,5.679361
34,85.156171,5.768477
35,85.548798,5.907531
36,85.459756,5.621235
37,85.154882,5.990093
38,84.686209,5.766104
39,84.465192,5.371998
40,84.273679,4.904076
41,84.211600,4.917081
42,84.179731,4.337932
43,84.194976,3.845291
44,84.024603,3.649799
45,84.047785,3.936697
46,84.188471,4.401824
47,84.434355,5.744778
48,84.479534,5.740055
49,84.050713,5.478635
50,83.854874,4.907698
51,84.125297,3.663413
52,84.326102,3.654741
53,84.295070,3.527427
54,83.940734,4.378141
55,83.945106,4.518905
56,83.842427,5.186059
57,83.572416,5.811903
58,83.525406,5.638705
59,83.964969,5.646145
60,84.098543,5.458598
61,84.883701,5.408430
62,84.703541,5.254515
63,84.333039,5.527310
64,83.985602,5.854484
65,83.648503,5.623796
66,83.936765,5.647228
67,84.048977,5.834756
68,84.008762,4.837686
69,84.221242,4.184788
70,84.103864,4.922844
71,83.580659,5.430393
72,83.033631,5.375863
73,82.721580,5.122122
74,82.501312,5.223151
75,82.402429,4.734491
76,82.155747,5.113145
77,81.914538,4.953055
78,81.711753,4.690445
79,81.756843,5.359533
80,81.933659,5.385417
81,82.300502,5.350417
82,82.391355,5.377346
83,82.324577,5.533434
84,82.705123,5.669602
85,82.824839,5.251990
86,82.697447,5.461582
87,82.833775,5.398442
88,82.973820,4.789733
89,83.267623,4.697346
90,83.204649,4.746775
91,83.116703,5.484852
92,83.522293,5.276077
93,83.613668,4.691547
94,84.055969,4.700271
95,84.472775,5.134003
96,84.750169,5.317106
97,84.971734,5.783975
98,84.944616,5.429498
99,84.891236,5.636048
100,84.818383,5.251357
101,84.936418,5.053914
102,84.886689,5.364768
103,84.534411,4.376408
104,84.628317,3.624906
105,85.114861,4.166849
106,84.961083,3.755184
107,84.847020,4.193923
108,84.668348,4.537229
109,84.543629,5.058711
110,83.809248,4.679809
111,83.347521,4.682750
112,83.510712,3.880812
113,83.573220,3.449066
114,84.061340,4.025401
115,84.374920,3.933364
116,84.518389,4.092183
117,84.317106,3.647378
118,84.479970,3.692342
119,84.496108,3.378687
120,84.896207,4.577988
121,85.105308,4.755803
122,85.240618,5.302823
123,85.627920,5.736663
124,85.941884,5.924478
125,85.840166,6.119254
126,85.280759,5.440090
127,85.361896,5.739850
128,85.012038,5.601329
129,84.851084,5.245717
130,84.879903,5.360796
131,85.254438,5.104438
132,85.421933,5.403620
133,85.482399,5.523652
134,85.102228,5.665600
135,84.939851,5.068443
136,84.707597,4.923787
137,84.638652,4.712245
138,84.324593,5.647355
139,84.289956,5.686353
140,84.492071,5.828784
141,85.111217,5.972774
142,85.162832,4.684454
143,84.718817,4.952125
144,85.227471,4.719011
145,84.868166,4.190900
146,85.302258,4.069675
147,85.563267,4.056947
148,85.917690,4.190325
149,86.643983,4.847671
150,87.274203,4.919960
151,87.642590,4.694867
152,87.614784,5.060874
153,87.431023,5.038059
154,87.001154,4.755577
155,86.873806,5.010342
156,87.052265,5.204106
157,86.717365,5.507120
158,86.367492,5.463065
159,86.129990,5.720640
160,86.127702,6.019109
161,86.446662,6.105745
162,86.816358,6.278200
163,86.912042,5.940460
164,86.450456,5.782495
165,86.289410,5.805602
166,86.225595,5.426297
167,86.492963,4.777687
168,86.087401,4.459275
169,85.813194,5.288126
170,85.782536,4.694828
171,85.686171,4.906425
172,85.478241,4.714665
173,85.517508,4.781410
174,85.454327,5.501866
175,85.038831,5.488186
176,85.158800,4.944508
177,85.023548,4.636049
178,84.638710,5.011571
179,84.742206,4.794945
180,84.208490,4.893636
181,83.990250,4.605487
182,83.757462,4.561887
183,84.080805,5.235496
184,84.181321,5.166680
185,84.319716,5.076410
186,84.216531,4.934942
187,84.625431,4.505801
188,84.343893,5.152728
189,84.256506,4.830562
190,84.948378,4.868299
191,84.637463,5.251291
192,84.398398,4.485585
193,84.393098,4.614568
194,84.395174,4.383832
195,84.519329,5.047615
196,84.002312,5.621118
197,84.066167,5.685673
198,84.759448,6.215750
199,84.524903,6.645776
200,84.321207,6.610140
201,84.610379,7.021826
202,84.819973,6.989042
203,84.823245,7.398426
204,84.552087,7.607702
205,84.944160,7.886197
206,84.950607,8.325753
207,84.669597,8.630016
208,83.907193,8.309556
209,83.825747,7.716429
210,83.835831,7.509865
