# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,56.181040,10.538063
1,56.499799,10.361110
2,56.184003,10.290186
3,55.858415,9.765821
4,55.837386,10.104873
5,55.606160,10.416332
6,55.426922,10.568187
7,55.975976,10.682418
8,55.693035,11.370694
9,55.991570,11.158928
10,56.006436,11.052676
11,56.555022,11.057686
12,56.608402,10.932904
13,56.503993,11.116834
14,56.842704,11.181818
15,56.625763,11.599032
16,56.917104,11.638419
17,57.061819,12.019956
18,57.190122,12.227245
19,56.662035,12.216167
20,56.518767,11.790765
21,56.423893,11.462355
22,55.985449,11.324096
23,55.529178,11.075395
24,55.013494,11.327601
25,54.847498,11.695825
26,55.107443,11.746535
27,54.966981,11.023908
28,54.858919,10.813085
29,54.778170,10.905816
30,54.900920,10.862061
31,55.078727,10.964203
32,54.502783,11.455911
33,53.780026,10.807110
34,53.357492,10.577084
35,53.224797,10.637694
36,52.918573,10.078741
37,52.535558,9.906097
38,52.236876,9.863933
39,51.923785,10.549693
40,52.216790,10.177025
41,52.342994,10.236242
42,52.119728,10.491744
43,52.038739,10.352760
44,52.085028,10.301763
45,52.551700,10.169489
46,52.477165,9.749379
47,52.230149,9.729874
48,52.259576,9.295798
49,52.034242,9.312597
50,52.560893,9.180213
51,52.723613,8.712249
52,53.300990,8.460883
53,53.222750,8.481081
54,53.191602,8.486421
55,52.913577,8.226380
56,52.833885,7.926117
57,52.715363,8.317787
58,53.116819,8.220662
59,53.332161,7.856565
60,53.615501,7.884003
61,54.037203,8.220065
62,53.955967,8.830423
63,54.429803,8.882466
64,54.324226,8.591072
65,53.931114,8.364667
66,53.524172,8.266976
67,53.581752,8.616723
68,53.528920,9.224338
69,53.312731,8.937459
70,53.001060,8.759334
71,53.310872,8.384534
72,53.008303,8.072409
73,52.821237,8.113700
74,52.751946,8.657608
75,52.651127,8.655739
76,53.055928,8.810102
77,53.202347,8.597274
78,52.860025,8.574676
79,53.379567,8.552004
80,53.850768,8.542192
81,54.177466,8.223810
82,54.546723,8.193669
83,54.904567,8.167301
84,54.610601,8.251084
85,54.531729,7.695967
86,54.422382,7.356225
87,54.473850,7.444818
88,54.523874,7.076730
89,54.535659,7.204913
90,54.862027,6.669146
91,54.982143,7.234906
92,54.996452,7.541514
93,55.592456,7.513125
94,55.140014,7.705041
95,54.931652,7.663693
96,54.860060,7.303409
97,54.830096,6.991213
98,54.473323,7.231569
99,54.429808,7.353689
100,54.645723,7.791847
101,54.559167,7.693279
102,54.709787,7.787685
103,54.243735,8.098597
104,54.320194,7.851369
105,54.210629,8.445428
106,53.770238,8.269019
107,53.331920,8.299309
108,52.718594,8.031438
109,52.879457,7.990033
110,52.580963,8.328635
111,52.599179,7.816378
112,52.948940,7.564474
113,52.779506,7.424074
114,52.462661,7.824665
115,52.166538,8.235127
116,52.068036,8.303139
117,52.270384,7.785033
118,51.961107,8.010817
119,51.882618,8.034357
120,51.607743,8.756299
121,51.708768,8.882018
122,51.647228,8.407016
123,51.443001,7.517842
124,51.227952,7.464231
125,50.780691,7.302549
126,51.066130,6.920086
127,51.479995,6.225859
128,51.573901,6.319286
129,51.446259,6.383025
130,51.694457,6.427220
131,51.779240,6.448384
132,52.159789,6.186941
133,52.051625,6.123792
134,51.899975,6.661032
135,52.112708,6.887470
136,51.796427,7.055602
137,51.461009,7.799228
138,51.458433,8.077803
139,51.266979,8.844510
140,50.596123,8.676381
141,50.709393,8.469977
142,50.850766,8.811601
143,50.918467,8.610450
144,50.932131,8.122020
145,51.001006,7.347624
146,51.505403,7.399847
147,51.611766,7.580196
148,51.969662,7.407100
149,52.009161,7.293844
150,51.998640,7.280108
151,51.761241,7.323240
152,52.001830,7.231626
153,52.231000,7.472367
154,52.118183,7.368799
155,51.724177,6.792163
156,51.922058,6.904648
157,52.019342,6.946255
158,51.797897,6.786932
159,51.565827,7.196243
160,51.048409,7.298717
161,50.700747,7.235290
162,50.963895,7.152501
163,50.914232,7.217698
164,51.449442,7.421685
165,51.269842,7.524008
166,51.497522,7.285373
167,51.324082,7.249488
168,50.993811,7.193603
169,51.102656,7.418344
170,51.159650,6.825350
171,51.416382,6.203419
172,51.967909,6.091521
173,51.719071,5.647495
174,51.366516,6.050647
175,51.155809,6.495352
176,50.499087,6.886731
177,49.825929,7.301826
178,49.891169,8.054902
179,50.141149,8.389232
180,50.243236,8.506916
181,50.049642,8.205567
182,49.967455,8.443092
183,49.812408,8.469202
184,49.887422,7.828613
185,50.002389,8.198114
186,49.811436,8.691018
187,49.564349,8.660873
188,49.436378,8.570875
189,48.836703,8.436165
190,48.405427,8.597177
191,48.298089,8.879272
192,48.492338,8.712215
193,49.194696,8.240714
194,49.507676,8.328492
195,49.674414,7.914826
196,50.358069,7.814433
197,50.518437,7.959520
198,50.818443,8.195258
199,50.746331,8.554655
200,51.002519,9.101640
201,51.124585,9.171694
202,51.134877,9.062312
203,51.230410,8.727497
204,51.179894,8.741108
205,51.189009,8.501319
206,51.467515,8.457043
207,52.118786,8.254707
208,52.058345,8.411692
209,51.737503,8.242546
210,51.695995,8.392658
211,52.131098,8.489327
212,51.835792,8.592426
213,51.882447,7.886530
214,51.760849,7.920933
215,51.340657,8.211980
216,51.880733,7.702542
217,51.816962,7.322385
218,51.677176,7.319638
219,51.671315,7.159206
220,51.877633,6.827917
221,52.036849,5.951923
222,51.734161,5.837816
223,51.489037,5.923333
224,51.239574,6.361781
225,51.702107,6.582974
226,51.947276,7.262194
227,52.105386,7.023317
228,52.007999,6.809695
229,51.991448,6.584092
230,52.112110,6.647856
231,51.822335,6.358793
232,51.692373,6.457586
233,51.725490,6.625923
234,52.150113,6.132953
235,52.207977,6.588355
236,52.470973,6.052906
237,52.355117,6.042398
238,52.886363,6.163207
239,52.888139,6.126189
240,52.644210,6.438118
241,52.354406,6.802426
242,52.534688,6.699455
243,52.417821,7.019512
244,52.889720,6.888251
245,52.941730,6.679922
246,53.257151,6.377858
247,53.546147,6.131458
248,53.635699,6.333024
249,53.743072,6.740918
250,53.636915,6.977598
251,53.271513,7.070825
252,53.157837,6.471240
253,52.381093,6.783722
254,52.181599,7.090626
