# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,67.926528,5.194198
1,68.067948,5.460970
2,68.553526,5.675960
3,68.331116,6.150412
4,67.994568,5.670696
5,68.145853,5.537636
6,68.501978,5.439791
7,68.897122,5.579350
8,68.453698,5.193817
9,68.238788,5.380584
10,68.297521,5.162495
11,67.656738,4.932797
12,67.272461,4.649718
13,66.828956,4.412039
14,66.474561,4.795265
15,66.436777,5.546004
16,66.812921,5.719802
17,67.463290,5.656262
18,67.487417,5.623275
19,67.705839,5.608504
20,67.739779,5.775864
21,67.908610,5.679058
22,67.547527,5.947443
23,67.565943,6.074284
24,67.455510,5.697238
25,66.756866,5.445243
26,66.677277,5.931202
27,66.748439,5.675208
28,66.689908,6.321772
29,66.750218,6.497155
30,66.947284,6.615881
31,66.564632,6.811804
32,66.928159,6.385637
33,66.985945,6.254342
34,66.382971,5.921952
35,66.281568,6.417465
36,66.343954,6.715167
37,66.291582,6.233170
38,66.422241,5.629045
39,66.588758,5.121668
40,66.383163,4.878790
41,65.919704,5.626573
42,66.127496,5.481040
43,66.235653,6.106654
44,65.750144,6.435685
45,65.600319,6.708293
46,65.638508,6.617013
47,65.839451,6.343709
48,65.661814,6.359807
49,65.876886,6.560645
50,65.855137,6.874939
51,65.434857,6.609929
52,65.693665,6.773159
53,65.611837,6.993434
54,65.772902,6.624803
55,65.893419,6.211217
56,65.467166,6.369983
57,65.155365,6.085746
58,65.125310,6.171258
59,65.407855,6.360101
60,65.620162,6.200478
61,65.848469,6.082886
62,65.793727,6.568916
63,66.085116,7.267832
64,65.961731,7.959501
65,66.005772,7.712412
66,66.377152,7.778042
67,66.675118,8.157409
68,66.914179,9.029700
69,66.850741,9.069330
70,67.028772,9.089732
71,66.664919,8.952987
72,66.259194,8.871602
73,66.276712,8.882033
74,66.426895,9.384806
75,66.409959,9.379568
76,66.907994,9.212393
77,67.304621,9.629688
78,67.533058,9.674030
79,66.949156,9.888064
80,66.733071,10.080155
81,66.732886,10.362560
82,66.349417,10.386246
83,66.203820,9.901968
84,66.145209,9.888917
85,66.499479,9.862466
86,66.141668,10.659197
87,65.871804,11.626950
88,65.867789,11.510651
89,65.982916,11.621795
90,65.727754,12.070694
91,65.891061,11.842976
92,65.797936,11.917997
93,65.891972,11.523682
94,65.903861,11.252535
95,65.328280,11.411251
96,65.594892,11.165297
97,65.394895,11.356232
98,65.213461,11.102260
99,65.000282,10.810250
100,65.002464,10.915060
101,64.966756,10.969881
102,64.860500,10.829997
103,64.891105,10.765557
104,65.014631,10.738901
105,65.236640,11.386903
106,64.978483,11.425194
107,64.790930,11.439250
108,64.352281,11.029287
109,64.015576,11.030041
110,63.609517,11.624251
111,63.633040,11.394583
112,63.279695,11.104565
113,63.650103,11.365116
114,63.737747,11.492658
115,63.633551,11.457165
116,63.460774,11.619156
117,63.204546,11.812954
118,63.463382,12.299803
119,63.463287,12.430797
120,63.266566,12.267816
121,62.984290,12.181323
122,63.137694,11.356621
123,63.036572,10.980701
124,62.923960,10.617702
125,62.760396,10.584002
126,63.336576,10.226326
127,63.957678,10.509189
128,64.149876,10.483230
129,63.662363,11.053473
130,63.666402,11.396694
131,63.799270,11.456490
132,63.793841,11.245406
133,63.724798,11.589274
134,63.577943,11.617657
135,63.540228,11.693226
136,63.605519,12.204161
137,63.824978,11.915979
138,63.671390,11.876973
139,63.965168,11.210446
140,64.345979,11.061629
141,64.617543,11.427223
142,64.931346,11.660081
143,64.959624,11.302755
144,64.937911,11.868566
145,65.031936,12.112931
146,64.767288,12.667295
147,64.802590,12.434252
148,64.985019,12.004819
149,64.940969,12.094536
150,65.447301,12.018486
151,65.304679,11.814363
152,65.230475,12.098524
153,65.507070,12.276025
154,65.445379,12.851910
155,65.688365,12.784986
156,65.935556,12.150025
157,65.846970,11.920550
158,65.539970,12.758956
159,65.520561,12.852757
160,65.641231,12.590601
161,65.410241,12.974994
162,65.124958,13.469588
163,65.284286,13.040112
164,65.840929,13.473280
165,66.121018,13.568966
166,66.190108,14.053279
167,66.356632,13.612869
168,66.827857,13.749346
169,66.546154,14.287270
170,66.205023,14.496149
171,66.035454,14.677957
172,66.330926,14.368742
173,66.906966,14.309740
174,67.273173,13.988540
175,66.702244,13.254976
176,66.457011,12.865576
177,66.567832,12.547309
178,67.003505,12.325445
179,67.407016,11.757386
180,67.524059,11.492021
181,68.040554,11.091821
182,68.083248,10.991928
183,68.253239,11.120376
184,68.012912,11.064805
185,68.077297,11.018119
186,67.603836,11.105280
187,67.735964,10.600137
188,67.791785,11.029006
189,67.533371,10.994619
190,66.982631,10.921566
191,67.380245,11.436792
192,67.249213,11.561941
193,67.181968,11.169702
194,67.033367,11.203434
195,66.527652,10.927532
196,66.546168,10.755340
197,66.419921,11.154901
198,66.649326,10.791171
199,66.636471,10.643287
200,66.630137,9.922068
