# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,64.056631,9.584809
1,64.201911,9.817389
2,64.602012,9.535585
3,64.498177,9.388305
4,64.067470,9.544551
5,63.783795,9.834640
6,63.948169,10.097374
7,63.610919,9.944879
8,63.560625,9.885204
9,63.572739,9.662474
10,63.943183,9.621476
11,63.917828,9.837144
12,63.980171,9.606503
13,63.999265,9.657444
14,63.435242,9.544912
15,62.957848,9.825546
16,62.846062,10.252745
17,62.832186,10.487936
18,62.842187,10.774162
19,62.836945,10.477685
20,63.282570,10.871404
21,63.738240,10.859337
22,63.323660,10.468614
23,62.836058,10.521048
24,63.258830,10.462834
25,63.078791,10.097045
26,63.113067,9.734552
27,63.505156,9.094795
28,63.316100,9.351744
29,62.770556,9.474059
30,62.865347,9.439215
31,63.088502,9.393624
32,62.870666,9.409903
33,63.216325,9.571010
34,62.839010,9.679983
35,62.976310,9.890972
36,62.472552,9.208966
37,62.054243,9.442946
38,62.426110,9.561619
39,62.553986,9.492162
40,62.507876,9.221439
41,62.826393,9.736909
42,62.906499,10.136487
43,63.206007,10.041934
44,63.410874,9.763682
45,63.257250,9.601291
46,63.589450,9.352859
47,63.908471,9.219287
48,64.054210,10.125847
49,64.507977,10.591114
50,65.143690,10.423154
51,65.260603,10.257178
52,65.536897,10.206682
53,65.548475,10.128493
54,65.764892,10.408303
55,65.686762,10.602423
56,65.259089,10.138072
57,65.039194,9.972761
58,65.077021,9.645675
59,64.965535,9.313400
60,64.661789,9.953328
61,64.756331,9.645979
62,64.054150,9.935288
63,64.060700,10.476327
64,64.259450,11.073842
65,64.070448,11.252703
66,63.707140,11.172543
67,63.614956,10.955662
68,63.550291,10.813004
69,63.194090,11.679625
70,63.349743,11.099545
71,63.147030,11.028610
72,63.520541,10.215643
73,63.944162,9.840572
74,64.029917,9.485093
75,63.974955,10.025128
76,64.238996,10.223024
77,63.625397,10.546109
78,63.253011,10.600562
79,62.766733,10.434801
80,62.438825,10.684103
81,62.783104,11.115153
82,62.835981,11.155844
83,62.878215,11.412881
84,62.938410,11.037853
85,62.603702,11.118866
86,62.496551,11.277742
87,61.482508,11.327266
88,60.969786,10.756783
89,60.463847,10.856546
90,60.121936,10.583853
91,59.494121,11.051770
92,59.420838,11.372254
93,59.241081,11.046229
94,59.124083,11.249908
95,58.472552,11.883454
96,58.317766,11.967950
97,58.178872,12.308062
98,57.989707,11.930574
99,57.810484,12.315874
100,57.564897,12.238652
101,57.696771,11.619306
102,58.007932,11.461200
103,58.024868,11.602986
104,57.824238,11.162840
105,57.342090,11.502823
106,57.094833,12.044975
107,57.029234,12.312143
108,56.700526,12.747702
109,56.245789,12.826424
110,56.223992,12.996022
111,55.941898,13.251801
112,55.986306,13.792584
113,56.646381,14.084842
114,56.887358,13.709846
115,57.246090,13.231926
116,57.138222,12.843396
117,56.782284,12.736868
118,56.592238,12.262615
119,56.387536,12.155109
120,56.333142,12.691331
121,56.260002,12.717256
122,55.866469,12.143780
123,55.711145,11.625348
124,55.487564,11.973741
125,55.582006,11.453915
126,55.326274,10.852822
127,55.195582,10.854573
128,55.556530,10.647570
129,55.389192,10.489486
130,55.390172,10.762379
131,55.367832,10.933427
132,54.960399,11.087824
133,54.355348,11.220455
134,53.994954,11.288811
135,53.835428,11.261766
136,53.346653,12.256920
137,53.193619,12.462302
138,53.438299,12.869779
139,53.774672,13.403386
140,54.352107,13.410649
141,54.591970,13.292592
142,54.599501,13.291147
143,54.463478,13.308746
144,54.715843,13.533689
145,54.753593,13.498277
146,54.958791,13.680298
147,55.063711,13.596933
148,55.269305,13.365815
149,54.885894,13.348139
150,54.791848,13.356244
151,54.587002,13.355567
152,54.847373,13.070868
153,54.522497,13.558402
154,54.267844,13.450204
155,54.476210,13.970479
156,54.526679,14.415367
157,55.058182,14.595894
158,55.109712,15.242630
159,55.442383,15.713172
160,55.255270,15.451089
161,55.249989,15.612022
162,55.282706,15.568439
163,55.726504,15.090473
164,56.016397,15.015467
165,55.885999,14.512059
166,55.772809,15.065074
167,55.592739,15.403606
168,55.688942,14.851618
169,56.298568,14.709338
170,55.987322,14.555769
171,56.236613,14.459494
172,56.533405,14.668000
173,56.091495,14.471476
174,56.097590,14.546139
175,55.989861,14.726564
176,55.664351,14.892332
177,55.861146,15.142945
178,55.445265,15.431721
179,55.619371,15.529349
180,55.341013,15.736251
181,55.260731,15.317517
182,55.133912,14.973153
183,55.032120,14.806399
184,54.375843,14.531661
185,54.671786,14.331946
186,54.811446,14.446290
187,54.772067,14.227001
188,54.774618,14.629272
189,55.233097,14.617387
