# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,64.149908,10.160940
1,63.829965,9.719904
2,64.186379,9.647641
3,64.098507,9.643615
4,64.548326,9.601314
5,64.517086,9.562640
6,64.260608,9.336094
7,64.212135,9.692747
8,64.202119,9.257266
9,63.837641,8.855694
10,63.440446,8.924331
11,63.246100,9.027839
12,63.381535,9.261186
13,63.597512,9.197393
14,63.096922,9.496948
15,62.645415,9.189576
16,62.430800,9.130231
17,62.168935,9.027295
18,61.909020,8.891930
19,61.943747,8.599242
20,62.049500,8.976396
21,61.901207,9.073117
22,61.974535,9.005468
23,62.220715,9.232301
24,62.570673,9.563351
25,62.785595,8.841506
26,62.445393,8.727027
27,62.595128,8.970221
28,62.482983,8.858637
29,62.298484,8.620008
30,62.324261,9.538485
31,62.775370,9.670206
32,62.670831,9.489283
33,62.578862,9.345304
34,62.464390,9.554891
35,62.482940,9.589993
36,62.423082,10.105700
37,61.932021,9.983979
38,61.994643,9.727766
39,61.868663,9.848142
40,62.189769,10.282012
41,62.533644,10.522067
42,62.275401,10.515975
43,62.277140,10.795427
44,62.667051,10.873827
45,62.534289,10.505557
46,62.173403,9.970023
47,62.194913,9.767346
48,62.228268,9.605296
49,62.056872,9.579237
50,61.226285,8.817628
51,61.033881,8.562434
52,60.903413,8.196866
53,61.277822,8.358280
54,61.392223,8.015506
55,61.223223,8.018052
56,60.526453,8.290631
57,60.468442,8.764663
58,59.739851,8.850510
59,59.507012,8.400316
60,60.125920,7.920719
61,60.936527,7.941474
62,61.098049,8.148537
63,60.684400,8.058577
64,60.837818,8.290785
65,61.106591,8.465023
66,61.014036,8.352873
67,60.879616,8.218220
68,60.688683,8.596860
69,60.456467,8.639200
70,60.075247,8.994870
71,60.006842,9.129853
72,59.036290,8.821144
73,59.083189,8.683579
74,59.319114,9.073774
75,59.328816,8.872852
76,59.123692,9.365037
77,58.914695,9.613235
78,58.916872,10.247023
79,59.205410,10.293965
80,59.344437,10.146587
81,59.606386,10.432151
82,59.747623,10.470603
83,59.558824,10.561781
84,59.700482,10.921229
85,60.140729,11.030120
86,60.141876,10.762948
87,59.937944,10.325319
88,59.378878,10.218445
89,59.768685,10.262051
90,60.008440,10.266968
