# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,65.764892,10.408303
1,65.693339,9.949855
2,65.778453,10.541898
3,65.739351,10.998709
4,66.182699,11.014692
5,65.982390,11.403016
6,65.882718,11.545365
7,65.852233,11.578438
8,65.837758,11.846193
9,65.685238,11.755858
10,65.725859,11.567433
11,65.612637,11.127247
12,64.836867,11.629200
13,64.729756,11.208010
14,64.711926,11.254949
15,64.212103,10.902882
16,64.401924,10.507418
17,63.937788,10.906064
18,63.696778,10.349612
19,64.098295,10.335181
20,64.201078,10.244661
21,64.341351,9.670521
22,64.107919,9.575868
23,64.450761,10.065301
24,64.431273,10.638755
25,64.192994,10.724320
26,64.553519,10.579252
27,64.615660,11.105137
28,64.758140,11.416328
29,64.306082,11.106627
30,63.640665,10.752722
31,63.486047,10.505439
32,63.481911,10.233084
33,63.393557,9.761506
34,63.993765,9.905613
35,64.127564,9.754587
36,64.548334,9.295081
37,65.015919,9.301732
38,65.579543,8.652234
39,66.260467,8.266888
40,66.305655,8.290165
41,66.482234,7.769738
42,66.312606,7.741986
43,65.884630,7.984147
44,65.648171,7.467358
45,65.519659,7.269753
46,65.464721,7.073300
47,65.782401,7.219759
48,65.678429,7.385641
49,65.614472,7.199378
50,65.700683,6.794522
51,65.362033,6.306113
52,65.265960,6.520686
53,65.605740,7.174620
54,65.534283,7.033500
55,65.308019,7.006914
56,65.493753,7.510342
57,65.753871,7.399341
58,65.410993,7.852533
59,65.341766,7.982498
60,64.673453,8.082663
61,64.850664,8.058441
62,65.071082,7.979897
63,65.241115,8.478086
64,65.093762,8.253625
65,65.125628,8.365392
66,64.503759,8.626696
67,64.779150,8.493333
68,64.662403,9.025172
69,64.641781,8.719968
70,64.499993,7.907874
71,64.692396,7.861617
72,64.480491,7.723768
73,64.578114,7.198723
74,64.713933,7.483444
75,65.060264,7.629156
76,65.026146,7.352669
77,64.641003,7.616869
78,64.713534,7.850181
79,65.114650,7.689335
80,65.184954,8.125589
81,64.861220,8.254449
82,65.007551,8.016328
83,65.262722,8.228008
84,64.920701,8.458510
85,64.798820,7.850556
86,63.745975,8.303714
87,63.275948,8.776887
88,63.141309,8.343450
89,63.232204,8.296252
90,63.422014,8.319303
91,63.361959,8.342966
92,62.761778,8.856910
93,62.865619,8.990818
94,62.303304,9.360254
95,61.946453,9.436977
96,61.642943,9.448460
97,61.125288,9.336335
98,60.816356,9.438383
99,61.276716,9.551328
100,61.995784,9.467605
101,61.528414,9.299462
102,61.614320,9.394225
103,61.576356,9.080769
104,61.739010,9.085189
105,61.537975,9.563276
106,61.244750,9.711658
107,61.286427,9.261772
108,61.191709,9.362078
109,61.302978,9.372003
110,61.716555,9.587943
111,61.639205,10.023916
112,61.873279,10.088058
113,61.974396,10.120396
114,61.667891,9.731166
115,61.115536,9.606326
116,61.097500,9.554965
117,61.529023,8.996835
118,61.580656,9.193164
119,61.326454,9.052664
120,61.069250,9.098566
121,60.837631,9.694427
122,60.880033,9.389458
123,60.135748,9.755320
124,60.175029,9.403800
125,59.924252,9.481280
126,59.700312,9.188040
127,60.182570,8.472814
128,60.285914,8.342478
129,60.814199,7.962683
130,61.080824,7.230606
131,61.213521,6.805976
132,61.140226,6.602282
133,60.846755,7.079975
134,60.561853,7.494681
135,60.235806,6.848075
136,60.384205,6.325327
137,60.113014,6.228798
138,60.346778,6.462005
139,60.331924,6.667909
140,60.244450,6.911734
141,60.631487,6.624990
142,60.469839,6.682343
143,60.366473,6.542736
144,60.821947,6.711230
145,61.519969,6.609105
146,61.859644,6.288841
147,61.942085,6.331379
148,62.511097,5.974623
149,62.650497,6.065204
150,62.802303,5.682967
151,62.765652,5.940626
152,62.372741,6.457842
153,62.186905,6.419262
154,62.380961,6.575656
155,63.092633,6.600317
156,63.405026,7.052800
157,63.156184,7.267954
158,62.977783,7.521048
159,63.108769,6.984506
160,63.084973,6.562458
161,63.326120,6.417761
162,63.025267,6.945856
163,62.735341,6.516857
164,62.483311,6.352220
165,62.579257,6.749346
166,62.864222,6.831588
167,62.658553,7.084950
168,62.482729,6.979755
169,62.193084,6.865143
170,62.056956,7.013182
171,62.716652,6.745439
172,62.988475,6.841132
173,63.218021,7.167660
174,63.723897,6.532521
175,64.155296,5.640615
176,64.654946,5.608333
177,64.553157,5.292992
178,64.520579,5.386815
179,64.967065,5.661336
180,65.206420,5.383846
181,64.913938,5.761962
182,64.905255,5.757790
183,65.229719,6.018272
184,64.717248,6.047558
185,64.845813,6.115287
186,65.295127,6.414886
187,65.345459,6.355966
188,64.590157,6.790699
189,64.497596,7.173906
190,64.659968,7.377455
191,64.483514,7.308345
192,64.393774,7.136674
193,64.576619,7.869315
194,64.993338,8.177125
195,65.186957,7.270047
196,64.679839,7.117867
197,64.310249,7.065554
198,64.642597,6.564841
199,64.525813,6.716579
200,64.434645,6.960622
201,64.154212,6.701419
202,64.254352,7.195373
203,64.115701,7.096420
204,64.048096,6.902509
205,63.885620,6.749786
206,63.761948,6.832258
207,63.651987,7.171693
208,63.335099,6.860884
209,63.372596,6.864589
210,63.330203,6.477644
211,63.507275,6.409682
212,63.372507,6.592912
213,63.327684,6.215428
214,63.359994,6.127194
215,63.656425,5.862037
216,63.409775,5.977380
217,63.035487,5.849609
218,62.813570,6.057509
219,62.994661,6.216737
220,63.321642,6.123457
221,62.951419,6.664710
222,63.287178,6.461489
223,62.909104,6.518862
224,62.808950,6.524141
225,62.742060,6.575420
226,62.801201,6.290013
227,63.394531,6.068645
228,63.768168,6.237548
229,63.475443,6.340321
230,63.145366,6.075194
231,62.589498,5.634327
232,62.502390,5.035105
233,62.601975,4.690840
234,62.538974,4.421655
235,62.854087,3.920976
236,62.784283,4.053159
237,62.574575,4.041789
238,62.293080,3.782643
239,62.294086,3.553541
240,62.124849,3.565472
241,62.542071,3.545049
242,62.762801,3.530966
243,62.773341,3.013675
244,62.451032,2.651862
245,62.245895,2.984013
246,62.043559,2.916662
247,62.394648,2.702396
248,62.711662,2.755946
249,62.782812,3.048696
250,63.031260,3.638884
251,62.861400,4.017934
252,62.610014,4.083510
253,62.642994,3.956174
254,62.451379,4.119805
255,62.320902,4.008329
256,61.817443,4.361556
257,61.492752,4.112491
258,61.746568,4.510705
259,61.593389,4.801556
260,61.430470,4.601619
261,61.620686,3.952575
262,61.419443,3.827624
263,61.409177,3.227730
264,61.318205,2.799406
265,61.090436,2.788566
266,60.993974,2.784145
267,60.859561,2.249997
268,60.777958,2.110156
269,60.905192,2.105081
270,61.400285,2.041840
271,61.563925,1.897251
272,61.228892,1.786186
273,61.079688,2.461811
274,61.220452,2.575467
275,61.531426,2.234254
276,61.685628,2.210183
277,61.751682,2.247688
278,62.086184,2.593358
279,62.243783,2.886277
280,62.343045,2.762016
281,62.435135,2.486976
282,62.150066,2.413069
