# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,57.972744,8.915852
1,58.066188,9.082829
2,57.727704,8.130605
3,57.238918,8.213058
4,57.517334,8.091926
5,57.895257,7.834089
6,58.228698,7.009199
7,58.082063,6.611121
8,57.402573,6.954535
9,56.901997,7.012835
10,56.876307,6.866621
11,56.288055,6.864843
12,56.313863,6.555952
13,55.713756,6.738008
14,56.118265,6.997742
15,55.984299,7.220460
16,55.879567,7.468680
17,55.698610,7.678944
18,55.665492,7.702202
19,56.077004,8.152719
20,56.149735,7.741207
21,56.742640,7.840531
22,57.001623,8.174708
23,56.812847,8.497975
24,57.045464,8.722127
25,56.893915,8.269087
26,56.634492,8.018444
27,56.493779,8.020070
28,56.315738,8.382694
29,56.008037,8.968466
30,55.790206,8.928809
31,56.026557,9.278846
32,55.785097,9.332085
33,55.708853,9.260188
34,55.885163,9.272390
35,56.245025,8.496358
36,56.402067,8.309408
37,56.742957,8.081483
38,56.994942,8.838531
39,56.999244,8.432485
40,56.814561,7.527632
41,56.768686,7.155442
42,56.930447,7.235414
43,56.943750,7.002098
44,56.859966,7.171206
45,56.960966,7.238508
46,56.675477,6.950490
47,56.562994,7.227409
48,56.292957,6.532896
49,55.995570,6.800107
50,55.919883,7.088248
51,55.594168,7.087855
52,55.313658,7.099863
53,55.284119,7.487218
54,55.691270,7.530478
55,55.903324,7.575520
56,56.428925,7.467876
57,56.170038,7.679935
58,56.630234,7.747189
59,56.483835,7.728389
60,56.479217,7.933127
61,56.523027,7.824452
62,56.049411,7.719904
63,55.803084,8.067085
64,55.726039,7.694626
65,55.767525,7.869365
66,56.112697,8.240954
67,56.322850,8.028190
68,56.533585,8.186120
69,56.633738,8.018455
70,56.477808,7.598793
71,56.752851,7.991717
72,57.059504,8.096934
73,56.992266,8.103481
74,56.838667,7.555132
75,56.723974,7.478677
76,56.398821,7.678119
77,56.409823,7.548612
78,55.800680,7.667634
79,55.233156,7.304266
80,55.152938,6.850517
81,55.214725,6.880278
82,55.349367,6.160475
83,55.491650,5.946657
84,55.027282,5.740750
85,54.284731,5.648177
86,54.378981,5.696128
87,54.423819,5.586348
88,54.383466,5.623778
89,54.672879,5.837199
90,54.844080,5.393353
91,54.881997,5.356215
92,54.925294,5.601959
93,54.848769,5.866035
94,54.352658,6.163508
95,53.856896,6.056856
96,53.841531,6.188767
97,53.902235,6.222724
98,53.994286,5.774250
99,53.903104,5.353357
100,53.728058,5.639378
101,53.526999,5.713763
102,53.428361,5.651845
103,52.858563,5.771695
104,52.983231,5.536169
105,53.150345,6.081564
106,52.808935,6.433566
107,52.756155,6.090054
108,52.655898,5.789310
109,52.300539,5.790884
110,52.148447,5.814720
111,51.875756,6.024260
112,51.893828,6.213761
113,51.437067,6.508242
114,50.856097,6.305121
115,50.675476,6.061404
116,49.972486,6.696207
117,49.280039,6.760989
118,49.231292,6.612888
119,49.517610,6.901454
120,49.674451,7.605001
121,50.044010,7.296155
122,49.739724,7.401689
123,50.103789,7.229771
124,50.079492,7.274214
125,50.410233,7.404558
126,50.451357,7.315063
127,50.037281,7.780776
128,50.126788,7.740030
129,50.467353,8.035155
130,50.263660,7.875581
131,49.994655,7.680167
132,50.285745,7.560672
133,50.235768,8.072819
134,50.372127,8.276320
135,50.465300,7.916833
136,50.351762,7.722075
137,49.399409,7.496780
138,49.445085,7.531275
139,49.191687,7.372830
140,49.100613,7.438132
141,49.254833,7.279604
142,48.916573,7.867634
143,49.097691,7.640539
144,48.804381,7.686908
145,49.075317,7.739551
146,48.915235,7.679784
147,48.801711,7.665888
148,48.274970,8.097045
149,48.300933,8.448609
150,48.541784,8.292876
151,49.183290,8.237375
152,49.506410,8.307488
153,49.852945,8.223807
154,50.154860,8.344725
155,50.342658,8.232175
156,50.563910,7.996231
157,50.258100,8.336334
158,49.967268,8.628273
159,49.688311,8.875879
160,49.639256,9.009547
161,49.066126,8.742204
162,49.015642,8.546236
163,48.576826,8.470885
164,48.248312,8.280968
165,48.052235,8.741246
166,48.108916,8.600152
167,48.081782,8.964052
168,48.107004,9.156656
169,48.646050,9.341879
170,48.289290,9.220833
171,47.682393,9.678376
172,47.805872,9.828506
173,48.188089,9.706704
174,48.332734,9.682296
175,48.219710,9.856500
176,48.143897,9.843633
177,47.913019,9.608916
178,47.669215,9.709846
179,47.685897,9.675212
180,47.327615,9.680776
181,47.364157,9.573878
182,47.224195,9.401548
183,47.391462,9.369914
184,47.589725,9.719194
185,47.397479,9.571780
186,47.375085,9.437997
187,47.505284,9.477629
188,47.541949,9.434457
189,47.630737,9.131113
190,47.418408,9.055319
191,47.009211,8.476143
192,46.730657,8.207629
193,46.629533,8.187356
194,46.827830,7.880402
195,46.971469,8.050307
196,47.005862,8.467588
197,47.003646,8.352245
198,47.168781,8.389361
199,46.723154,8.360204
200,46.157641,8.291058
201,46.193597,8.408752
202,45.913594,8.303579
203,45.435129,8.648519
204,45.544088,8.691802
205,45.303224,9.304770
206,45.424051,9.329421
207,45.144355,9.047739
208,45.099755,9.341495
209,44.996419,9.482089
210,45.186660,9.412301
211,44.886865,9.355157
212,44.837138,8.793117
213,44.235586,8.756910
214,44.725088,8.040771
215,44.397145,8.107287
216,44.277255,8.355576
217,44.815754,8.759574
218,45.286192,8.523491
219,45.521842,8.429306
220,45.668707,7.968200
221,45.421387,8.012729
222,45.474301,7.848729
223,45.299431,7.711703
224,44.888241,7.892314
225,44.562956,7.922381
226,44.611377,7.946399
227,44.306869,8.276299
228,44.188276,8.522367
229,44.762685,8.563478
230,45.035289,8.884109
231,45.012651,8.936794
232,45.394667,9.131293
233,45.380585,9.148076
234,45.345066,8.577745
235,45.302651,8.413121
236,45.476386,8.673874
237,44.981939,8.664957
238,44.594592,8.612109
239,44.776186,8.534776
240,44.517095,8.739329
241,44.408954,8.962656
242,44.440157,8.941725
243,44.350709,8.655953
244,44.547372,8.979131
245,45.046387,8.733872
246,44.875019,8.769657
247,45.058891,8.201879
248,45.291972,8.583031
249,44.908512,8.890842
250,44.414371,8.904915
251,44.171137,8.861974
252,44.155268,8.928483
253,44.347888,8.467440
254,44.298977,8.416604
255,44.546874,8.691834
256,44.648215,8.828353
257,44.919466,8.582239
258,45.547654,8.010460
259,45.226518,8.020061
260,45.261325,7.773426
261,44.892852,7.857487
262,44.636620,8.047054
263,43.887645,8.493318
264,43.698882,8.699491
265,44.066425,8.526073
266,44.319160,8.106449
267,43.968174,8.269863
268,43.634461,8.654669
269,43.532633,8.876924
270,43.698593,8.681538
271,43.399426,8.833963
272,43.211896,8.254478
273,43.532201,8.201787
274,43.474240,8.201217
275,44.176352,8.127426
276,44.134613,8.139430
277,44.968350,7.702012
278,44.948319,7.663382
279,44.812135,7.755574
280,45.453896,7.609911
281,45.027485,7.886684
282,45.007485,7.713641
283,45.263636,8.112997
284,45.849569,7.513427
285,45.775942,7.428781
286,45.394427,7.592607
287,44.990792,8.164285
288,44.735085,7.950928
289,44.560249,8.250841
290,45.085944,8.341090
291,45.339043,8.168614
292,45.468995,8.334522
293,45.527778,8.583302
294,45.594622,8.776766
295,45.479907,9.389773
296,44.971816,9.517241
297,44.689566,9.673146
298,44.520628,9.924122
299,44.892996,10.278154
300,45.174567,10.433330
301,45.210892,10.486885
302,45.488917,10.255848
303,45.849893,10.593742
304,45.719195,10.413741
305,45.716799,10.174543
306,45.720849,9.790171
307,45.981759,9.314715
308,45.779395,9.052698
309,46.441952,9.386971
310,47.301655,9.355449
311,47.888522,9.463461
312,47.608461,9.300927
313,48.021055,9.000597
314,47.679107,9.021578
