# this data file was made with 
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,-3.369762,5.279699
1,-3.369762,5.279699
2,-3.151582,5.623951
3,-3.222648,5.995137
4,-3.135246,7.053236
5,-3.015436,6.421075
6,-2.525926,5.092721
7,-2.547378,4.370083
8,-2.285440,3.879482
9,-1.997267,3.413238
10,-1.450847,4.299954
11,-1.094932,3.803886
12,-0.973944,3.696885
13,-0.814574,3.806640
14,-0.649475,3.967800
15,-0.577735,4.512401
16,-0.402832,4.075005
17,0.049702,3.910457
18,-0.039590,4.632532
19,0.028122,3.132465
20,-0.091718,2.425620
21,-0.104291,1.257624
22,-0.429639,0.347701
23,-0.588950,0.511967
24,-0.841970,0.697833
25,-0.901888,0.161577
26,-0.668252,1.139621
27,-0.406918,1.316883
28,-0.477918,1.881285
29,-0.203185,2.096858
30,-0.124066,2.496384
31,0.139005,3.080385
32,0.591951,2.700072
33,0.395771,2.585631
34,0.294704,2.974813
35,0.535320,3.072417
36,0.536901,2.652778
37,0.718343,3.114770
38,0.448381,2.585374
39,0.251283,2.255012
40,0.553522,1.228197
41,1.058999,0.458064
42,1.393353,0.934507
43,2.089045,0.441947
44,1.618753,0.430329
45,1.514424,1.061212
46,1.398223,1.138204
47,1.017185,1.751157
48,0.555957,2.139970
49,0.773504,2.257648
50,0.916086,2.271424
51,0.725788,2.774607
52,0.870854,3.134380
53,0.999000,3.457648
54,0.938132,3.003566
55,0.952418,2.140113
56,1.252475,2.234579
57,1.636297,1.848764
58,1.589630,1.850877
59,1.204327,1.015471
60,0.516828,0.983255
61,0.678611,0.600058
62,0.856597,1.429410
63,1.063382,0.562324
64,1.120052,0.683979
65,0.991104,1.380829
66,0.900104,1.535475
67,0.726109,1.427311
68,0.501064,1.332437
69,0.715971,1.933955
70,1.076991,1.910578
71,1.088401,1.484952
72,1.284854,1.787605
73,1.818410,1.570711
74,2.179724,2.191450
75,2.381622,2.989467
76,2.514398,2.440401
77,2.181700,2.571585
78,2.271020,2.230667
79,2.400829,2.314707
80,2.264538,2.238699
81,2.395934,2.093573
82,2.883685,3.042227
83,2.698785,2.998371
84,2.755565,3.507096
85,3.232601,3.744978
86,3.014717,3.281763
87,2.884231,2.959810
88,3.263725,3.838522
89,3.529703,4.043383
90,3.066296,3.987065
91,2.921395,3.653213
92,2.888816,4.792799
93,2.933038,5.571654
94,2.987745,5.211614
95,2.564365,5.573608
96,2.938498,4.765256
97,3.143468,4.350677
98,3.364916,3.519883
99,3.302535,3.644784
100,3.127473,4.351823
101,3.189402,5.407796
102,3.391685,4.154964
103,3.070863,4.272751
104,2.647215,4.546261
105,2.315899,4.121699
106,1.852868,4.813760
107,1.904935,4.305953
108,1.625564,4.073786
109,1.395752,5.289664
110,1.631768,6.101108
111,1.754965,6.487238
112,1.815349,6.747967
113,1.670305,7.504358
114,1.852345,7.707225
115,1.878920,6.838619
116,2.077040,4.881601
117,2.322151,3.744017
118,2.559601,3.395822
119,2.881681,3.013026
120,2.765175,2.485752
121,2.570502,2.849084
122,2.153492,3.215300
123,2.612399,3.213013
124,2.109114,2.955865
125,1.898745,2.212548
126,2.012180,3.128478
127,1.905156,3.516966
128,1.691063,4.338080
129,1.741373,4.195388
130,1.573497,4.714386
131,1.636771,4.989170
132,2.265945,3.704062
133,2.050561,3.443443
134,1.909663,3.584180
135,2.143098,3.291317
136,2.575073,3.311653
137,2.349268,3.720214
138,3.001580,2.085112
139,2.567926,1.971351
140,2.329362,2.084306
141,2.411719,2.356007
142,2.284271,2.626842
143,1.947909,4.210831
144,1.601760,4.413608
145,1.645170,4.893583
146,1.592677,5.384253
147,1.709763,5.693293
148,1.731469,5.284861
149,1.795667,5.359926
150,1.985943,5.904399
151,1.851171,5.719060
152,1.655723,4.968184
153,1.636272,6.119646
154,1.873146,6.290157
155,1.753408,5.600812
156,1.857001,6.237210
157,1.515527,5.155477
158,0.930096,5.847709
159,0.339981,6.178637
160,0.255952,5.755722
