# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,70.897080,10.783527
1,71.620179,10.822755
2,71.966634,10.936040
3,71.530946,10.688963
4,71.314999,10.227269
5,71.417852,9.819632
6,70.951132,9.902461
7,70.377158,9.908924
8,70.717338,10.372273
9,70.710815,11.038479
10,70.916185,10.935259
11,71.255144,10.778683
12,71.407650,10.506891
13,71.066698,10.531936
14,71.077179,10.298514
15,71.332678,10.111975
16,71.583817,10.146986
17,71.789842,9.988142
18,71.745512,9.774522
19,72.150943,10.294895
20,72.367088,9.776531
21,72.629654,8.883522
22,72.474342,8.352000
23,72.458226,7.886939
24,72.608484,8.076107
25,72.422405,7.834879
26,72.799836,7.889861
27,73.057301,8.332770
28,73.367111,7.971154
29,72.853003,7.878142
30,72.613683,7.948210
31,72.454347,7.105214
32,72.480654,7.536634
33,72.678493,7.618568
34,72.802700,7.706293
35,73.019705,7.974044
36,73.268577,8.346214
37,73.587441,8.341714
38,73.453094,7.797393
39,73.892999,7.748303
40,73.923936,7.597264
41,73.839055,7.371403
42,73.261087,7.361359
43,73.376409,7.369572
44,72.886773,7.142091
45,72.375355,6.899165
46,72.291030,6.588283
47,72.138946,6.707901
48,72.252102,7.284668
49,71.858800,7.667049
50,71.440540,8.191637
51,71.536734,8.300257
52,71.466047,8.201272
53,71.461713,8.187064
54,71.240902,8.181728
55,71.110796,8.331281
56,71.553761,8.355194
57,71.770895,8.174751
58,71.451175,8.839286
59,71.426383,9.440895
60,70.899825,9.335077
61,70.652057,9.270375
62,70.891136,8.420479
63,70.821542,8.333426
64,70.770411,8.188475
65,70.944991,7.813570
66,70.697758,7.927892
67,70.334976,7.910535
68,70.388153,7.877439
69,69.670455,7.855163
70,70.024106,7.368082
71,69.745689,7.318636
