# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,65.650447,8.619662
1,65.477179,8.531407
2,65.488125,7.930689
3,65.578443,8.180814
4,65.495708,7.875721
5,64.814925,7.768938
6,64.644633,7.930995
7,64.153482,8.275708
8,64.219507,8.089978
9,64.121657,8.392050
10,63.860054,8.567187
11,64.112257,8.466263
12,63.909256,8.143796
13,63.825558,8.429655
14,63.881530,8.491277
15,64.007947,8.718759
16,63.448983,8.745521
17,63.195664,9.030046
18,63.087899,8.921045
19,63.105667,8.872600
20,63.204142,8.370519
21,62.695822,8.335741
22,62.281391,7.855477
23,62.360801,7.887837
24,63.075840,7.807489
25,63.221745,7.813515
26,63.333318,7.538979
27,63.068545,7.731381
28,62.625068,7.753625
29,62.684182,7.710253
30,63.287038,7.260319
31,63.663401,7.616665
32,64.461691,8.104987
33,64.283194,8.869618
34,64.102717,8.906114
35,63.987125,8.210239
36,63.995276,7.634241
37,64.024700,8.291419
38,64.027832,8.576069
39,64.221261,8.440816
40,64.052764,7.941958
41,63.803323,8.214309
42,63.532581,7.732442
43,63.326930,8.025524
44,63.356228,8.137192
45,63.515643,9.274288
46,63.422807,8.888510
47,63.359197,8.634683
48,63.670918,8.452032
49,63.655001,8.691622
50,63.654384,9.006364
51,63.723625,8.071396
52,63.194404,8.167346
53,63.060027,8.019053
54,63.035871,7.828851
55,63.026239,8.629025
56,63.106052,9.796258
57,62.942156,9.507532
58,62.820766,8.977474
59,62.693744,9.077715
60,62.412764,8.738048
61,62.138127,8.321377
62,62.669323,8.548145
63,63.327899,8.738780
64,63.364209,8.854485
65,63.195602,9.048689
66,63.104475,9.086160
67,63.674530,9.050430
68,63.281901,9.067196
69,62.918318,8.892455
70,62.866743,8.346041
71,62.512431,8.250590
72,62.287557,8.340621
73,62.072229,8.792363
74,61.461016,8.776586
75,61.373717,7.949240
76,60.896337,8.065139
77,60.409729,8.320810
78,60.386408,9.241982
79,60.118943,9.016251
80,60.489344,7.885116
81,60.767474,7.588937
82,61.012797,7.340518
83,61.305890,7.677083
84,61.590172,7.697571
85,61.723362,7.700453
86,61.776939,7.795211
87,61.591129,7.293232
88,61.029738,6.643081
89,61.353102,6.744988
90,61.180324,6.780757
91,61.380073,6.772488
92,61.641647,6.594873
93,61.958814,5.869230
94,62.068285,6.467540
95,62.035318,6.306310
96,61.682334,6.294716
97,61.919852,6.663983
98,62.149305,6.350625
99,61.770570,6.245830
100,61.302694,6.669421
101,61.099601,6.731953
102,60.702062,7.651746
103,60.681243,7.476953
104,59.892461,8.024849
105,59.701118,8.267736
106,60.021166,8.138067
107,60.202870,7.851438
108,60.513172,7.333128
109,60.510161,7.379841
110,60.392540,6.965165
111,60.502842,7.102326
112,60.271513,7.427836
113,60.689649,7.608861
114,60.801408,7.126573
115,61.153054,6.804338
116,61.684616,6.239038
117,62.014965,5.604254
118,62.097021,5.623141
119,61.757939,5.258830
120,61.579349,5.306831
121,61.679198,5.242548
122,62.214353,5.101697
123,62.878370,5.554903
124,63.564903,5.618463
125,63.659341,6.076515
126,63.521234,6.379456
127,63.961166,6.711194
128,63.901595,7.113534
129,63.728064,7.255361
130,63.956539,7.525094
131,63.718282,7.280444
132,63.581272,7.721975
133,64.022093,7.781207
134,64.123566,8.304829
135,64.008807,8.400979
136,63.849817,8.097400
137,63.608521,7.658132
138,63.393631,7.428898
139,62.982308,7.659499
140,63.051254,8.045399
141,63.025991,8.498393
142,62.771608,8.804468
143,62.327770,8.340886
144,62.295204,8.189968
145,62.685415,8.478974
146,62.602932,8.636878
147,62.592009,8.081117
148,62.688941,7.585112
149,62.503402,7.877064
150,62.586178,7.780377
151,62.187797,7.756241
152,61.745852,7.500368
153,61.562795,7.660545
154,61.600338,6.957926
155,61.378915,6.837660
156,61.331048,6.534225
157,61.128861,6.008798
158,60.881304,6.956146
159,61.333280,7.172769
160,61.431808,7.559159
161,61.123041,7.450154
162,61.209096,7.675613
163,60.837680,7.746413
164,60.369960,7.592789
165,60.763068,7.665070
166,60.562916,7.618791
167,61.359929,7.769607
168,61.819049,7.521179
169,61.637878,7.858034
170,61.401321,7.996398
171,61.605561,8.531765
172,61.790268,8.461088
173,61.364652,8.076264
174,61.440664,8.260912
175,61.464530,8.339971
176,61.612986,8.011023
177,61.538310,7.506217
178,61.307899,7.549287
179,61.107591,7.782990
180,60.587110,7.809347
181,60.048732,7.762500
182,59.868600,7.630302
183,59.828825,7.887243
184,60.297247,7.699380
185,60.772441,7.589148
186,61.056158,7.709599
187,61.243100,7.880533
188,61.244013,7.950604
189,61.566470,7.531223
190,62.002238,7.690421
191,62.705200,7.660756
192,63.054836,6.771480
193,63.456799,7.174837
194,63.393326,7.600588
195,63.276156,7.485462
196,63.090031,7.793789
197,62.801889,8.040956
198,62.875533,8.384634
199,63.093130,8.227425
200,63.335429,8.038634
201,63.894691,8.174484
202,64.056766,7.946841
203,63.816362,8.068855
204,63.695574,8.171554
205,63.714733,8.013041
206,64.162305,8.448490
207,64.168920,8.062779
208,64.104250,7.892756
209,64.235488,8.222711
210,64.186818,7.921390
211,63.762185,7.616376
212,64.023497,7.780084
213,64.177465,7.620202
214,64.294348,7.591617
215,64.426217,7.913653
216,64.579387,8.094722
217,64.467193,8.405418
218,63.870088,7.861971
219,63.680567,8.271503
220,64.163060,8.090860
221,64.113972,7.638850
222,63.799895,7.694008
223,63.677660,7.257833
224,63.734007,7.196553
225,63.544944,6.983004
226,63.387612,6.752632
227,63.266946,7.060768
228,63.164462,6.876490
229,62.538566,6.658709
230,61.918528,7.020659
231,61.931998,7.414156
232,62.128564,7.376077
233,62.210054,7.241074
234,62.071539,7.409770
235,61.839997,7.866621
236,61.188040,7.964897
237,61.089265,8.010998
238,61.137146,7.927961
239,61.282812,7.979252
240,61.170492,7.765098
241,61.274355,8.014784
242,61.346566,7.672140
243,61.432871,8.054230
244,61.457606,7.820340
245,61.820126,7.670527
246,62.042158,7.342229
247,62.019507,6.961122
248,61.980618,7.516503
249,61.998467,7.361439
250,62.380830,7.586806
251,62.383319,7.553062
252,62.140960,7.274829
253,62.269147,7.734863
254,62.200904,7.835618
255,62.547500,7.843325
256,62.646270,7.766719
257,62.672524,7.901401
258,62.468660,7.501627
259,63.065718,7.042518
260,63.768601,7.041510
261,64.010506,6.229145
262,64.054267,5.897775
263,64.412760,5.438317
264,64.491420,5.526463
265,64.275235,6.009549
266,64.388065,6.154334
267,64.334823,6.099548
268,64.278474,5.544095
269,63.994015,5.581989
270,63.885045,5.814974
271,63.564839,6.485289
272,63.255802,7.170194
273,62.732848,7.689837
274,62.347097,7.156645
275,62.310201,7.028712
276,62.606303,6.789825
277,62.777820,6.584966
278,62.890379,6.562791
279,63.068539,6.564041
280,63.512217,6.008840
281,63.702829,5.699993
282,63.774843,5.190214
283,64.113593,5.222865
284,64.057721,4.746757
285,64.442124,4.677013
286,64.536006,4.596021
287,64.603588,4.420186
288,64.122600,4.699317
289,63.870016,4.805077
290,64.087525,4.632742
291,63.913005,4.470122
292,63.647447,4.573493
293,63.644251,5.070481
294,63.577518,5.701099
295,63.393892,5.776012
296,63.486908,6.095592
297,63.509869,6.231425
298,63.364348,6.048137
299,63.123718,5.637286
300,62.872614,5.694925
301,62.796579,5.577760
302,62.786402,5.596411
303,63.066555,5.926888
304,63.226275,5.732706
305,63.087098,5.365212
306,62.969611,4.941232
307,62.662326,4.777040
308,62.700757,4.487740
309,63.238655,4.763068
310,63.953510,4.752342
311,64.656084,4.624712
312,64.814296,4.415918
313,65.503745,4.513353
314,65.496432,4.452632
315,65.672355,4.039966
316,66.050411,4.191232
317,66.328674,4.026653
318,66.147793,3.957741
319,65.878195,4.039505
320,65.409548,4.519260
321,65.233436,5.178284
322,64.553369,5.608050
323,64.409060,5.268358
324,64.515168,5.540503
325,64.453809,5.233062
326,63.919161,5.095873
327,64.282789,5.343851
328,64.519941,5.321644
329,64.921337,5.036389
330,64.741171,5.471960
331,64.756075,5.748651
332,64.398151,5.030355
333,63.979029,5.215473
334,64.054474,5.480901
335,64.132853,5.449786
336,64.062256,5.397443
337,64.011031,5.154534
338,63.964164,5.035669
339,63.796894,4.974356
340,63.603433,4.912884
341,63.402428,4.571277
342,63.260864,4.053036
343,62.841880,4.189174
344,62.086718,3.726207
345,62.251546,4.328760
346,62.389088,4.360837
347,62.397119,4.400776
348,62.400288,4.330189
349,62.209989,4.570866
350,61.942139,4.617923
351,61.933697,4.760911
352,62.142850,5.224894
353,62.894666,5.242495
354,63.265009,5.368801
355,63.392956,5.230193
356,63.106378,5.116194
357,63.214097,6.028180
358,63.628398,5.753887
359,63.264716,6.149308
360,62.909606,6.316638
361,62.649560,6.741247
362,62.499268,6.675452
363,62.293336,6.580816
364,61.958792,6.716262
365,61.736242,6.890854
366,62.032400,7.194966
367,62.278041,7.161902
368,61.874398,7.452553
369,61.417505,7.430866
370,61.141171,7.314839
371,60.959431,6.946344
372,60.727749,6.863408
373,61.175355,7.521570
374,61.217469,7.784123
375,61.086537,8.098736
376,60.704802,8.610797
377,60.595527,9.484876
378,60.836006,9.522581
379,61.445758,9.370886
380,61.776451,9.078183
381,61.382346,9.120144
382,61.602652,8.654562
383,61.642742,8.011835
384,61.110329,7.695616
385,60.849661,7.593775
386,61.180802,8.239470
387,61.173674,8.425493
388,60.777301,8.548613
389,60.815090,8.853240
390,61.240556,8.432981
391,61.472180,8.158912
392,61.826900,7.969860
393,62.285702,7.820132
394,61.853873,7.962126
395,61.575784,7.167614
396,61.665922,6.903690
397,61.562920,7.086864
398,61.974359,6.507917
399,62.028281,6.690710
400,62.241537,6.134798
401,62.494340,6.013104
402,62.916520,5.608000
403,62.905144,5.629638
404,62.555710,5.910784
405,62.645595,5.514125
406,62.673607,5.670101
407,62.931876,6.284630
408,63.091873,6.191886
409,63.258862,6.203689
410,63.000083,5.974550
411,62.611988,6.026003
412,62.286852,6.545398
413,61.704044,6.762653
414,61.638620,7.321683
415,61.459582,6.807164
416,61.383636,7.040226
417,60.954529,6.768456
418,60.973194,6.338862
419,60.899600,6.565434
420,60.462458,7.172031
421,59.921487,7.348893
422,60.406915,7.252026
423,59.976651,7.706846
424,60.105652,8.047937
425,59.766377,7.967265
426,59.272250,7.411634
427,58.911781,7.623912
428,58.398591,7.615331
429,58.130363,7.858010
430,58.399825,7.812024
431,58.892798,8.308433
432,58.722730,8.631737
433,58.436727,8.425254
434,58.239016,8.009953
435,57.985794,7.700474
436,58.040875,7.780525
437,58.153853,8.111244
438,58.373255,8.027224
439,58.350795,8.051651
440,58.549266,7.713816
441,58.447912,7.349773
442,58.520194,7.541605
443,59.082333,7.830697
444,59.431083,8.176089
445,59.919499,8.032292
446,60.088187,7.887528
447,59.698828,7.703987
448,59.255266,7.639340
449,59.274429,7.826456
450,59.544239,7.846420
451,59.998746,7.473103
452,60.129201,7.836637
453,60.360225,8.074160
454,60.374694,8.288740
455,60.420144,7.988826
456,60.381853,7.585495
457,60.034864,7.602338
458,60.374447,7.228580
459,60.253960,7.150387
460,60.052821,6.916264
461,60.344440,7.347879
462,60.510619,7.351310
463,61.010459,7.695525
464,61.063984,7.572374
465,60.720309,7.610894
466,60.369874,7.884116
467,60.829016,7.650330
468,60.905851,7.823220
469,60.884549,8.144707
470,60.654194,8.559568
471,60.599949,8.919379
472,60.381810,8.356962
473,59.922133,8.013276
474,59.291625,7.933870
475,59.419181,8.087924
476,59.589407,8.157023
477,60.112605,7.751914
478,60.064868,8.329552
479,60.295171,8.441955
480,60.476538,7.961174
481,60.266410,7.975424
482,60.637667,7.700944
483,60.538848,7.599644
484,60.612790,7.925537
485,60.641400,7.697397
486,60.346181,8.005286
487,59.637926,8.030302
488,59.139273,7.797203
489,59.361401,7.711364
490,59.312754,7.614030
491,59.381391,7.529375
492,58.820443,7.700732
493,58.555573,7.881463
494,58.377927,7.826311
495,58.295627,8.030572
496,58.021735,7.824869
497,58.260645,7.990817
498,58.316446,8.367668
499,58.078152,8.490078
500,58.274427,8.284081
501,58.296085,8.734677
502,57.703086,8.967935
503,57.498504,9.327629
504,57.314970,9.456826
505,57.124878,9.421609
506,57.785376,9.498988
507,57.841471,9.366597
508,57.995553,9.371364
509,57.645428,8.900482
510,57.228470,9.063406
511,57.106508,8.484673
512,56.695695,8.394309
513,57.427879,8.638663
514,57.651118,7.890538
515,57.878332,7.916222
516,58.255708,8.135252
517,58.163632,8.138903
518,57.716937,7.691825
519,57.161362,7.688584
520,56.912010,8.404356
521,56.517421,8.948016
522,55.889534,8.303097
523,55.391832,8.436436
524,55.746369,7.975150
525,55.953626,7.698091
526,55.948079,7.822626
527,56.493800,7.346931
528,56.873185,6.622009
529,57.302462,6.069280
530,57.085976,6.047620
531,56.432655,6.039426
532,56.299125,5.916669
533,56.073812,5.564089
534,56.251552,5.152256
535,56.438472,4.929782
536,56.077986,4.815355
537,56.133575,4.761878
538,56.142652,5.003423
539,55.994119,5.128665
540,56.201324,4.792788
541,56.529219,4.798791
542,56.185016,4.764311
543,55.864668,4.947082
544,55.660111,4.657888
545,55.082173,4.840537
546,54.907595,4.964255
547,55.062409,4.818476
548,54.911944,5.088819
549,54.933941,4.584353
550,54.859593,4.455571
551,54.945594,4.897285
552,55.308247,4.820738
553,55.516509,4.310120
554,55.590050,4.138910
555,55.480896,4.154645
556,55.683128,4.570800
557,55.573409,5.232968
558,55.878349,4.825002
559,55.827368,5.357613
560,56.008929,5.383658
561,55.796000,5.803998
562,56.017248,5.743059
563,55.773715,5.936803
564,55.446812,6.543151
565,54.872831,6.638967
566,55.065382,6.303430
567,54.845030,6.352514
568,55.197772,6.080163
569,54.592725,6.225036
570,54.394536,6.534477
571,54.526086,6.677546
572,54.452666,6.549386
573,54.610539,6.438269
574,54.340166,6.594789
575,54.438663,6.786112
576,54.316891,6.952193
577,54.676165,7.504060
578,55.203047,7.630906
579,55.425331,7.933455
580,55.411661,8.051588
581,55.518544,7.982887
582,55.149903,7.851216
583,55.123855,8.241020
584,55.174536,7.971190
585,55.392494,7.979329
586,55.283962,8.018254
587,55.270278,7.703231
588,55.192976,7.752408
589,55.058844,7.956995
590,55.260630,8.285723
591,55.046655,8.634064
592,54.827197,8.764463
593,54.809853,8.867155
594,55.324071,8.605159
595,55.322010,8.576128
596,55.495888,8.610169
597,55.538606,9.714318
598,55.369970,9.466484
599,55.369923,9.456491
600,55.546436,9.414885
601,55.446758,9.325977
602,55.434306,9.665606
603,55.370136,10.114365
604,55.609539,9.936111
605,55.333931,10.389634
606,54.992061,10.447418
607,55.216776,10.465642
608,55.593560,10.072107
609,55.653406,9.669753
610,55.887403,9.874766
611,55.740172,10.424203
612,55.637038,10.597591
613,55.551982,10.838230
614,55.018346,11.311857
615,55.106685,10.688357
616,55.431059,10.868836
617,56.071364,10.388248
618,56.171390,10.671041
619,56.201617,10.474285
620,56.162675,10.564595
621,56.076767,9.918164
622,56.153220,9.922435
623,55.931926,10.124115
624,56.404687,10.261814
625,56.305653,10.240859
626,56.294017,10.554137
627,56.648164,10.355993
628,56.599550,10.630968
629,56.187764,10.750750
