# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,79.111517,10.315360
1,79.252669,10.482417
2,79.520213,10.573194
3,79.811826,10.833781
4,79.373954,10.658677
5,78.897998,11.308389
6,78.366906,11.317802
7,78.181543,11.238811
8,78.506071,11.375695
9,78.325796,11.862501
10,78.415462,12.199889
11,78.313393,12.670895
12,78.367921,12.496886
13,78.658853,12.514389
14,78.370831,12.155548
15,77.992332,12.208075
16,78.169566,12.372002
17,77.965220,12.804747
18,77.523513,12.398122
19,76.958867,12.817377
20,76.956830,13.140871
21,76.966659,12.614182
22,76.802993,12.229449
23,76.799312,11.452881
24,77.055407,11.522282
25,77.100490,11.488276
26,77.122613,11.706820
27,77.002205,11.576267
28,77.077024,11.193012
29,76.743461,11.094142
30,76.821088,10.835825
31,76.784554,10.411002
32,77.233459,10.271515
33,77.527172,10.553831
34,78.000994,10.744469
35,78.221378,11.498514
36,78.519663,11.419061
37,78.115714,10.795501
38,77.492487,10.628512
39,77.441734,10.366638
40,77.158144,10.825239
41,76.796513,11.027379
42,76.242947,10.396273
43,76.119164,10.358787
44,76.015237,10.498534
45,76.002264,11.000159
46,76.176783,10.764782
47,76.199207,10.796993
48,76.230722,10.824897
49,76.556974,10.747577
50,76.485642,10.425072
51,76.593761,10.393833
52,76.605153,9.182622
53,76.307724,8.428598
54,75.912291,8.426538
55,75.766570,8.271264
56,75.542275,8.304100
57,75.793730,7.795917
58,75.692186,8.108155
59,75.506678,8.310519
60,75.648738,8.364911
61,75.506353,8.121263
62,75.678197,7.513806
63,75.626011,7.455516
64,76.638222,7.808880
65,76.879108,7.620637
66,76.826288,7.073069
67,76.320109,7.467791
68,75.814503,7.644617
69,76.077103,7.749497
70,76.223330,7.663402
71,76.183200,7.786314
72,76.381395,7.736470
73,76.675103,7.825735
74,77.109398,7.529512
75,77.386142,7.282644
76,77.230235,7.714144
77,76.904062,8.369071
78,76.785682,8.082941
79,77.009634,8.399495
80,76.644376,7.406589
81,76.728755,7.540116
82,76.644351,7.589505
83,76.739940,7.731111
84,76.530100,7.520694
85,76.550352,7.783660
86,76.078408,7.191167
87,75.812406,7.218227
88,76.079129,7.279866
89,75.690555,8.054019
90,75.803648,7.817229
91,76.073164,8.071936
92,76.769964,7.653585
93,76.793891,7.491226
94,76.502940,7.275751
95,76.569964,6.615413
96,76.416740,6.160018
97,76.153836,6.236458
98,75.765664,6.668634
99,75.499799,7.318645
100,74.798155,7.840846
101,74.233359,7.716801
102,74.288270,7.888742
103,74.537631,7.403247
104,74.091478,8.196039
105,74.062696,8.352977
106,73.955369,8.125291
107,74.126539,7.790515
108,74.367239,7.687130
109,74.139315,7.381061
110,73.872144,7.429262
111,73.838760,6.966332
112,74.140370,6.637652
113,74.139113,7.007552
114,73.831151,6.470572
115,73.689398,6.985470
116,73.081620,7.337057
117,73.446134,7.217089
118,73.753331,6.659541
119,73.630912,6.535419
120,73.195276,6.924401
121,73.374312,7.353964
122,73.620240,7.139004
123,73.931681,7.105009
124,73.903376,6.847587
125,73.741471,7.626516
126,73.830219,7.347363
127,73.983214,7.960777
128,74.051819,8.118935
129,73.874437,8.102446
130,74.024175,8.390627
131,74.070950,8.708724
132,74.115993,8.602460
133,74.445806,9.008021
134,74.375756,8.853922
135,74.116290,9.232324
136,74.199862,9.149336
137,74.214951,8.799989
138,74.169407,8.029716
139,74.049652,7.966208
140,74.205546,8.331827
141,74.343583,8.035466
142,74.090629,7.646248
143,73.845467,7.893110
144,74.115246,7.862215
145,74.286902,7.757876
146,74.603119,7.874904
147,75.368909,7.468493
148,75.067398,7.147643
149,74.866092,6.687696
150,75.685578,6.587248
151,75.568798,5.752219
152,75.382308,5.759602
153,75.288527,6.332333
154,75.036408,6.848502
155,74.732010,6.982562
156,74.604446,7.358391
157,74.543424,7.248093
158,74.031162,7.553966
159,73.388238,8.054604
160,73.117898,7.711611
161,73.326663,7.543866
162,73.360508,7.700593
163,73.736346,7.325656
164,73.597988,7.504133
165,73.240760,7.305233
166,73.388109,6.678778
167,73.267939,7.166741
168,73.385798,7.095665
169,73.639821,6.688307
170,73.329867,6.658467
171,72.628449,7.337102
172,72.373139,7.400026
173,71.977497,6.896623
174,71.607651,6.844358
175,71.446055,6.978998
176,71.063581,7.084315
177,70.972946,6.169445
178,70.690701,6.476314
179,70.247815,7.473610
180,70.550349,7.523190
181,70.423441,7.145795
182,70.506127,6.656475
183,70.892243,6.541629
184,71.012247,7.384373
185,70.972956,7.542418
186,71.396760,7.809584
187,70.957722,7.716392
188,70.983039,8.025972
189,71.148852,8.023966
190,71.403411,7.978171
191,71.385996,7.812662
192,71.484147,8.075552
193,71.540601,8.245056
194,71.412280,7.898075
195,70.852308,7.939484
196,70.964400,7.765070
197,70.789693,7.587867
198,70.947254,7.443691
199,70.333854,7.151981
200,69.519397,7.071741
201,69.216732,7.189208
202,68.977187,7.630609
203,68.884862,7.923381
204,69.172744,7.760167
205,69.447940,7.829831
206,69.542750,7.662730
207,69.251629,8.110659
208,69.437712,7.914576
209,69.214931,7.649379
210,68.805511,8.279971
211,68.462123,9.068672
212,68.293925,9.028437
213,67.718820,8.737019
214,67.472485,8.778084
215,67.125293,9.043414
216,66.963723,9.542301
217,67.061744,9.389526
218,67.231411,9.463982
219,66.896001,8.983201
220,67.364921,8.586735
221,67.102651,7.887270
222,67.060404,7.836395
223,67.022986,7.949665
224,66.710897,7.955515
225,66.210701,7.803362
226,66.030506,7.607333
227,65.536815,7.401268
228,65.992918,7.335889
229,66.192783,7.951455
230,66.694781,7.958982
231,67.344887,8.128457
232,67.652707,8.341248
233,67.836054,8.684860
234,67.460068,8.263208
235,67.177261,8.541170
236,66.386499,8.626725
237,66.051317,9.079725
238,66.456165,8.820104
239,66.494004,8.228557
240,66.405812,8.107479
241,66.124828,8.183558
242,65.709318,7.776127
243,65.144811,7.960414
244,64.980828,7.816005
245,65.268996,8.186582
246,65.339991,8.545653
247,65.624795,8.413280
248,65.870801,7.978917
249,65.263735,7.950591
250,65.347336,7.592494
251,65.356227,7.830146
252,64.845210,8.415004
253,64.817976,7.616803
254,64.876300,7.368380
255,65.116317,7.128545
256,65.074452,6.803353
257,65.267776,7.151437
258,65.723435,7.341968
259,66.186314,7.902980
260,65.998905,8.589593
261,66.130725,9.053872
262,66.261274,8.578850
263,66.267900,8.168513
264,65.675356,8.348773
265,65.834801,8.771413
266,65.956788,9.483251
267,65.684433,9.952192
268,65.813191,10.089412
269,66.490432,9.684542
270,66.209470,9.314446
271,66.023654,9.311248
272,66.302855,8.984139
