# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,67.985465,5.583895
1,67.437601,6.409517
2,67.298550,6.692624
3,67.323346,6.523375
4,67.686987,6.597620
5,67.584381,6.450058
6,67.202948,6.283171
7,66.780130,6.573966
8,66.700438,6.889232
9,66.875844,6.068677
10,66.423803,5.375847
11,65.831841,5.188591
12,65.615060,5.488865
13,65.626985,5.293275
14,65.563691,5.254892
15,65.280160,5.493028
16,65.048839,4.913568
17,65.273211,5.168387
18,65.376169,5.292520
19,65.040875,5.473451
20,65.027903,5.754283
21,65.117974,5.937885
22,65.029406,6.094351
23,64.915777,6.047511
24,64.954137,6.161911
25,64.817474,6.278202
26,64.893571,5.893882
27,64.907807,5.787320
28,65.593519,5.249231
29,65.200066,5.461779
30,64.947302,6.082590
31,65.029941,5.758784
32,65.084737,6.076006
33,65.022742,6.480537
34,64.629375,7.141800
35,64.597791,6.910566
36,64.876876,6.629198
37,65.034499,6.768955
38,65.073129,6.345694
39,65.126237,6.826379
40,65.458382,6.898909
41,65.857106,6.610099
42,66.140032,6.858756
43,66.571043,7.175317
44,66.384138,7.188528
45,66.212007,7.085126
46,66.158653,7.642550
47,65.544871,8.285671
48,65.407092,8.083634
49,65.392520,7.832628
50,65.738360,7.878829
51,65.727063,8.237119
52,65.830937,8.510975
53,66.049413,8.457889
54,65.570261,8.193451
55,65.710758,7.823223
56,65.360890,7.929758
57,65.163254,7.880966
58,65.083358,8.208077
59,65.059527,8.498906
60,65.264067,8.949498
61,65.541655,9.032462
62,65.753564,9.217270
63,66.028010,9.530674
64,65.812900,10.010736
65,65.970073,9.894312
66,65.597910,10.407824
67,65.531279,10.411458
68,64.986397,9.807157
69,65.059208,9.483465
70,64.842022,9.944572
71,65.098313,10.034358
72,65.820230,9.899905
73,65.602535,10.158102
74,65.574015,10.017870
75,65.406639,10.480992
76,65.776397,9.740833
77,65.783449,9.296781
78,65.591134,9.354468
79,66.188439,9.939537
