# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,56.841628,8.149987
1,56.594735,8.000411
2,56.574057,8.428376
3,56.524119,8.058304
4,56.119920,7.630455
5,55.851634,7.694004
6,55.643592,7.611662
7,55.439117,7.681039
8,55.479640,7.689063
9,55.381105,7.913190
10,55.606445,8.003800
11,55.587257,7.768922
12,55.559980,7.811220
13,54.959119,8.127988
14,54.465157,7.991173
15,54.201483,8.322771
16,54.422957,8.185771
17,54.211228,8.265851
18,54.364671,8.486593
19,54.528222,8.064322
20,54.850530,8.002347
21,55.203448,8.321147
22,55.718094,7.862502
23,56.216538,7.919299
24,56.221751,7.981205
25,56.010270,8.166352
26,55.711869,8.335203
27,55.961328,8.549922
28,55.766877,8.798166
29,55.415109,8.802718
30,54.765512,8.927254
31,54.795915,9.202200
32,55.151633,9.175949
33,55.380372,9.086015
34,55.250947,8.793788
35,55.568294,8.867781
36,55.268714,8.773361
37,54.484969,9.027357
38,54.353630,9.021432
39,54.365543,9.223062
40,54.335279,9.289865
41,54.277617,9.438902
42,54.042794,9.326185
43,53.816512,9.303305
44,53.389893,9.213900
45,53.205990,9.836586
46,53.338192,10.079457
47,53.407373,10.082171
48,53.466839,9.946808
49,53.411071,9.627572
50,53.463158,9.406269
51,53.449888,9.437912
52,53.642487,9.734227
53,54.037314,9.343859
54,54.016212,8.698956
55,53.357891,8.634274
56,53.185251,9.108045
57,53.642773,9.000237
58,53.886509,8.798699
59,53.516030,9.048201
60,53.776136,9.286856
61,53.997929,9.768886
62,54.627952,10.212780
63,54.757977,10.567277
64,54.497181,10.676142
65,54.681565,10.925024
66,54.752080,10.792161
67,54.868776,10.493573
68,54.412687,10.354334
69,54.358855,10.199633
70,53.802495,10.316673
71,53.572114,10.411569
72,53.411176,10.592645
73,53.305785,10.090288
74,52.704910,9.829809
75,52.970276,9.363413
76,52.803540,9.871539
77,52.797744,9.947979
78,52.756971,9.817201
79,52.470689,9.751336
80,52.378773,9.836483
81,52.561100,10.129296
82,52.323743,10.305842
83,52.062601,10.144959
84,52.076940,9.507486
85,52.043735,9.422716
86,52.129003,9.580577
87,51.587982,9.554329
88,51.126096,9.418902
89,51.314374,10.117912
90,51.376569,10.261551
91,51.647094,10.298072
92,51.662753,10.459904
93,51.774425,10.030889
94,51.807819,10.464033
95,51.708786,10.650770
96,51.562627,10.725886
97,51.654238,10.983629
98,51.826951,10.936899
99,51.260493,10.708082
100,51.456423,10.463917
101,51.173548,10.819090
102,50.461396,10.495100
103,49.540629,10.721420
104,49.111495,10.972684
105,49.069087,10.782846
106,49.504479,10.800249
107,49.531443,10.235298
108,49.562684,9.950832
109,49.387574,10.092547
110,49.260920,10.282853
111,48.957410,10.063857
112,48.710865,9.548277
113,48.531512,9.607108
114,48.711435,9.907555
115,48.878477,10.202869
116,49.290383,9.514567
117,49.161082,9.492099
118,49.850455,10.435771
119,49.424937,10.143436
120,49.069089,10.003583
121,49.619813,9.841534
122,50.250217,9.963448
123,50.121076,9.795047
124,50.436558,9.311214
125,50.108364,9.038031
126,50.562732,8.523189
127,51.241256,8.489456
128,51.202983,8.707732
129,51.152311,9.064104
130,50.890076,8.590093
131,50.346879,8.637879
132,49.978825,8.666458
133,49.714939,8.723456
134,50.143356,8.568364
135,50.218857,8.319551
136,50.157739,8.090359
137,49.910223,8.462523
138,49.970436,8.353072
139,49.524492,8.480141
140,49.893685,8.666478
141,50.196650,8.638877
142,49.901044,8.512383
143,49.992054,8.363198
144,49.606001,7.922681
145,49.377497,8.170324
146,49.338982,8.342982
147,49.199889,8.206408
148,49.283900,8.338750
149,49.030599,8.387412
150,48.877518,8.761698
151,48.715266,8.523734
152,48.543932,8.841335
153,48.998429,8.951196
154,49.290229,8.871672
155,49.552486,8.909647
156,49.623415,8.718310
157,49.395754,8.805339
158,49.436179,9.272918
159,49.539470,9.124209
160,49.532325,9.381558
161,49.338882,9.815653
162,49.092829,9.551025
163,49.018757,9.854131
164,49.098230,9.886171
165,49.123924,10.310368
166,49.419009,10.825909
167,48.946896,10.071267
168,49.136273,10.257269
169,49.600646,10.716439
170,50.319040,10.817447
171,50.506355,10.796881
172,50.919685,10.412456
173,50.927726,10.351293
174,50.601711,10.044511
175,50.505803,10.511751
176,50.456704,10.599865
177,50.267284,10.672144
178,50.284362,11.220939
179,50.051734,10.891213
180,49.808098,10.854180
181,49.644501,11.023180
182,49.465348,11.103401
183,49.786874,10.996237
184,49.482422,11.052129
185,49.394489,10.802583
186,49.767186,11.184732
187,49.978149,11.193725
188,49.594202,11.321592
189,49.811560,11.519174
190,49.227358,11.647490
191,49.443130,11.022303
192,49.659284,11.289457
193,50.074441,11.786714
194,50.040958,11.554941
195,49.866439,11.024898
196,50.173278,10.741718
197,50.305831,10.844949
198,50.565742,10.699036
199,51.061222,10.803719
200,51.456405,10.826968
201,51.469443,10.329401
202,51.123448,9.627574
203,51.009292,9.976462
204,51.218397,10.269769
205,51.545257,10.476821
206,51.854891,10.568757
207,52.006620,9.930967
208,52.394655,10.146811
209,52.709299,9.958693
210,52.867964,9.847568
211,53.329769,9.708917
212,53.690609,9.940073
213,53.924541,9.954680
214,53.527869,9.897255
215,53.590909,9.839241
216,53.550675,10.103281
217,53.734552,10.859772
218,53.723891,11.661618
219,53.772887,11.559392
220,53.758029,11.459499
221,53.467218,11.227588
222,53.033343,11.510034
223,52.651982,11.284155
224,52.463513,11.639603
225,52.287745,11.966202
226,52.305701,11.659715
227,52.117032,11.334457
228,51.783028,11.307738
229,51.618741,11.120911
230,51.630641,11.210409
231,51.661792,11.079399
232,52.140513,11.079672
233,52.115913,11.083143
234,51.215110,10.758681
235,50.999952,10.474129
236,51.011229,10.879818
237,50.940929,10.914596
238,51.042007,10.509925
239,51.098581,10.529049
240,51.056597,10.422876
241,51.195063,10.367555
242,50.736483,10.015407
243,49.976373,10.090763
244,49.758742,10.365391
245,50.218540,10.650872
246,50.055366,11.270447
247,49.828443,11.440093
248,50.176692,11.185274
249,50.182440,11.091033
250,50.238640,11.229408
251,50.112987,11.136384
252,50.393941,11.004981
253,50.518813,10.924140
254,50.917409,11.006953
255,50.953660,11.317352
256,51.079443,11.427567
257,51.429402,11.215827
258,51.519585,11.201600
259,51.876080,10.721574
260,52.074267,10.043762
261,52.281985,10.064338
262,52.450159,9.958819
263,52.383934,9.241855
264,52.017337,8.686418
265,51.725371,8.708480
266,51.558613,8.579378
267,51.619522,8.873365
268,51.540763,9.381459
269,51.558943,9.356143
270,51.613037,9.037577
271,51.417021,9.225531
272,51.021529,9.421489
273,51.056937,8.754240
274,50.929583,8.968375
275,50.887837,9.421962
276,51.009804,9.511089
277,50.940061,9.492386
278,51.162680,9.262713
279,51.145479,10.225631
280,50.929410,10.637076
281,50.791198,11.304901
282,50.177438,11.127277
283,50.214643,11.160973
284,50.695262,11.685377
285,50.949351,11.953135
286,51.098900,11.932776
287,50.951450,11.901605
288,50.394475,11.412711
289,50.926616,11.420860
290,50.895869,11.601875
291,50.694865,11.162798
292,50.738751,11.188037
293,51.113317,11.573821
294,51.789776,11.523695
295,52.021991,11.786623
296,52.643925,11.763655
297,52.135567,11.008032
298,52.232751,10.191753
299,52.189800,10.662895
300,52.214796,10.222657
301,51.661960,10.403519
302,51.374568,10.201420
303,51.367847,10.630823
304,51.137717,10.571886
305,50.978635,10.676128
306,50.482292,10.922149
307,50.461991,10.980919
308,50.523817,11.018553
309,50.602634,10.759670
310,50.819177,10.827511
311,50.244683,10.468541
312,50.410673,10.068735
313,50.779551,10.513523
314,50.804503,10.526702
315,50.958275,10.685640
316,51.097526,11.007697
317,51.399350,10.943586
318,51.588786,10.829692
319,51.626162,10.773133
320,51.982479,11.121220
321,52.356420,10.843029
322,51.848784,11.098650
323,51.275693,10.834005
324,51.140742,10.873709
325,51.112643,11.018261
326,50.847640,11.057816
327,50.415052,11.078991
328,50.491842,11.243817
329,51.017152,10.774148
330,51.457582,11.186796
331,51.765716,11.100451
332,51.638452,11.008199
333,51.821188,11.395557
334,51.509968,11.387010
335,51.408592,11.267347
336,51.084679,11.306343
337,50.686581,10.832735
338,50.810263,10.418218
339,51.099749,10.579894
340,51.199775,10.368741
341,51.291527,11.376928
342,50.738514,11.940866
343,50.768335,11.674730
344,50.388812,11.669284
345,50.593141,11.137368
346,50.252499,11.227429
347,49.942929,11.850042
348,50.256327,11.679614
349,50.321100,11.888238
350,49.774661,11.768311
351,49.960070,11.942962
352,50.391951,12.197997
353,50.181219,11.818907
354,49.622662,11.151014
355,49.436615,11.201448
356,48.985291,11.653607
357,48.598921,11.114865
358,48.369274,10.929397
359,47.973652,11.104756
360,47.219084,10.861513
361,46.764739,11.213398
362,46.429307,11.397074
363,45.964012,10.990610
364,45.971218,11.231170
365,46.313553,11.008422
366,46.709316,10.558398
367,47.191330,10.356174
368,47.084975,10.221748
369,47.176134,10.100362
370,47.590543,10.066821
371,47.727941,10.137379
372,47.669737,10.175781
373,47.510026,10.180676
374,47.120560,10.622210
375,47.005606,10.921118
376,46.717321,11.252987
377,46.557473,10.814034
378,46.427730,11.070194
379,46.456140,10.446425
380,46.020444,10.285504
381,45.610719,9.822449
382,44.940418,9.544233
383,44.892165,9.800737
384,44.323108,10.038914
385,43.655690,10.049789
386,44.043876,10.111669
387,44.337758,9.938905
388,44.623181,9.510533
389,44.222420,9.443672
390,43.954598,9.407258
391,44.545987,9.790650
392,44.720902,9.686537
393,44.724049,9.766154
394,44.965816,9.830556
395,44.717233,9.927661
396,44.610730,9.522300
397,44.715581,9.427101
398,44.601624,9.101971
399,44.858787,8.752075
400,44.844245,8.868883
401,44.916626,9.066975
402,45.190143,9.372475
403,45.694631,8.989744
404,45.867480,9.360837
405,45.333026,9.305337
406,45.146834,9.196114
407,45.083116,9.271276
408,44.955264,9.230438
409,45.049710,9.467116
410,44.643699,9.125728
411,44.201265,8.896023
412,44.212157,8.534112
413,44.063071,8.485638
414,44.038185,8.982267
415,43.892777,8.568862
416,43.878928,9.084807
417,44.147736,8.758786
418,44.283400,8.308515
419,44.225348,7.892105
420,44.379745,7.995931
421,44.558681,7.718928
422,44.788776,7.325779
423,44.801095,7.294962
424,44.462716,7.751817
425,44.495044,7.686066
426,44.490436,7.755591
427,44.389128,7.608372
428,44.337530,7.251713
429,43.942819,7.214227
430,43.449812,7.342670
431,43.831535,7.395116
432,43.975996,6.729560
433,43.757487,7.087747
434,43.164284,6.678968
435,42.657547,6.430774
436,42.455850,6.105789
437,42.559609,6.601534
438,42.696798,6.870493
439,43.265310,6.717987
440,43.171906,6.482805
441,43.372356,6.434136
442,43.792599,6.263349
443,43.970401,6.270237
444,44.028276,6.659312
445,44.159400,7.012045
446,44.686859,6.815327
447,44.881417,6.360233
448,45.262207,6.897959
449,45.804046,7.013347
450,45.982734,6.506574
451,46.097627,6.734302
452,46.217947,6.497841
453,46.140167,5.910923
454,45.766050,6.417448
455,46.032327,6.836455
456,45.858478,6.822184
457,46.038078,7.173047
458,46.238125,6.536929
459,46.745254,6.029847
460,46.397914,6.435210
461,46.775929,6.844852
462,46.813156,7.137939
463,47.124426,6.731690
464,46.741979,6.489511
465,46.862932,6.350032
466,46.732663,6.061157
467,46.696975,5.877766
468,46.770730,5.588699
469,47.020960,5.221313
470,46.637121,5.459717
471,46.475051,5.022770
472,46.351469,5.178410
473,46.107636,5.095814
474,45.971934,5.310170
475,46.020030,5.376275
476,45.809451,5.748911
477,45.768284,5.565792
478,45.576512,4.744855
479,45.577527,4.495162
480,45.570962,5.414947
481,45.758009,5.278202
482,45.852015,4.877317
483,45.536588,5.131726
484,45.494266,5.736575
485,45.516601,5.899381
486,45.527545,5.773124
487,45.244199,5.945417
488,44.695892,6.276340
489,44.418985,6.618477
490,43.944589,6.139421
491,44.125794,6.249007
492,44.253590,6.468231
493,45.013592,6.596486
494,45.297515,6.692552
495,45.228583,6.640311
