# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,68.335563,5.528328
1,67.744514,5.372900
2,67.353305,5.867004
3,66.902004,6.075771
4,66.791270,5.789903
5,66.508454,6.266721
6,66.748218,5.774989
7,66.685234,5.723426
8,66.279678,5.709076
9,66.087139,6.064706
10,65.532875,6.735790
11,65.622555,6.795393
12,65.888628,6.758519
13,66.088828,6.979033
14,65.846981,7.404010
15,65.663251,7.147902
16,66.129456,7.118547
17,65.765590,7.975157
18,65.271610,8.259226
19,64.711698,9.138886
20,64.801746,9.028541
21,64.532649,8.751317
22,64.859638,8.457263
23,64.914975,9.071191
24,64.679029,9.234150
25,64.507531,9.208816
26,64.813515,8.821929
27,64.849458,8.288822
28,64.804567,8.028692
29,64.627400,7.906613
30,64.962594,6.996985
31,64.509136,6.827427
32,64.180130,6.456489
33,63.449934,6.398158
34,63.072245,6.238192
35,63.292735,6.530998
36,63.131275,6.786926
37,62.745793,7.095431
38,62.928443,6.739151
39,62.476223,6.718105
40,62.154811,6.638397
41,61.968260,6.470568
42,61.664357,6.470577
43,61.621121,6.019417
44,61.288061,5.747223
45,61.632919,5.532418
46,62.283268,5.682943
47,62.238569,5.910253
48,62.180929,5.424551
49,62.367662,5.706734
50,62.023739,5.559044
51,61.707844,5.314893
52,61.805818,4.942630
53,61.410858,5.365110
54,60.938219,5.338328
55,61.018538,5.127618
56,61.377622,5.124765
57,61.316356,5.407636
58,61.078636,5.404992
59,61.009664,4.918738
60,61.339693,4.636862
61,61.010877,4.123545
62,61.561935,3.689996
63,61.720421,3.643207
64,62.088267,3.603650
65,62.098593,3.482571
66,62.401004,2.808726
67,62.199324,2.380366
68,62.064875,2.662606
69,62.338661,2.623795
70,62.433252,2.423081
71,62.358760,2.200387
72,62.911209,2.317028
73,62.615637,2.491440
74,62.546610,2.325637
75,62.475493,1.984534
76,62.510932,2.034716
77,62.441187,1.977761
78,62.278192,1.930082
79,62.546635,1.437418
80,62.970933,1.546642
81,63.121509,1.315727
82,62.967632,1.428933
83,62.793423,1.811967
84,63.148690,2.087617
85,63.655884,1.986532
86,63.701050,2.015670
87,63.683917,2.197052
88,63.975767,2.047819
89,63.974975,2.194776
90,63.410870,2.172708
91,63.373517,2.426183
92,63.158830,2.264950
93,63.573976,2.288437
94,63.909129,2.375276
95,63.948948,1.974043
96,63.805294,1.852278
97,63.957255,1.978175
98,63.848830,2.552603
99,63.840148,2.805767
100,63.975973,2.503070
101,63.974041,2.779611
102,64.169569,2.904083
103,64.183352,2.385152
104,64.400446,2.678174
